obs.x	obs.y	obs.tot	mean.x	mean.y	mean.diff	var.x	var.y	stderr	df	statistic	pvalue	conf.low	conf.high	alternative	mean.null	conf.level
MAR00611	23	7	30	8.3927696	8.4067041	-0.0139345502	1.810150e-04	1.896238e-05	0.0032525571	27.712737	-4.284183	0.0001987703	-2.060022e-02	-7.268876e-03	two.sided	0	0.95
MAR00617	23	7	30	8.3887274	8.3988953	-0.0101679483	1.884456e-04	4.041653e-05	0.0037372551	22.663947	-2.720700	0.0122869164	-1.790540e-02	-2.430499e-03	two.sided	0	0.95
MAR00622	23	7	30	0.3356918	0.3608212	-0.0251293900	6.549027e-04	4.809854e-04	0.0098583078	11.466089	-2.549057	0.0262905865	-4.672025e-02	-3.538528e-03	two.sided	0	0.95
MAR00624	23	7	30	8.3803618	8.3938480	-0.0134862411	1.881445e-04	5.063045e-06	0.0029838713	25.336179	-4.519713	0.0001258990	-1.962751e-02	-7.344975e-03	two.sided	0	0.95
MAR00627	23	7	30	0.3355553	0.3606898	-0.0251344979	6.557614e-04	4.822365e-04	0.0098692603	11.458764	-2.546746	0.0264120009	-4.675096e-02	-3.518037e-03	two.sided	0	0.95
MAR00639	23	7	30	8.3928777	8.4067530	-0.0138753228	1.800228e-04	1.899397e-05	0.0032466140	27.693846	-4.273783	0.0002046640	-2.052902e-02	-7.221622e-03	two.sided	0	0.95
MAR00650	23	7	30	8.3986055	8.4084365	-0.0098310323	1.589303e-04	1.388364e-05	0.0029821785	27.987328	-3.296594	0.0026645098	-1.593987e-02	-3.722192e-03	two.sided	0	0.95
MAR01095	23	7	30	1.7274336	1.7167549	 0.0106787020	1.689264e-04	1.004702e-04	0.0046580584	12.797793	 2.292522	0.0394910187	 5.993921e-04	 2.075801e-02	two.sided	0	0.95
MAR01435	23	7	30	2.6562273	2.6710204	-0.0147931133	5.781529e-04	6.565059e-05	0.0058750097	27.461938	-2.517973	0.0179260340	-2.683816e-02	-2.748070e-03	two.sided	0	0.95
MAR01525	23	7	30	4.1585411	4.1163912	 0.0421499119	3.194303e-03	1.506523e-03	0.0188175538	14.585798	 2.239925	0.0411328571	 1.941815e-03	 8.235801e-02	two.sided	0	0.95
MAR01616	23	7	30	1.5482009	1.6002911	-0.0520901750	6.409937e-03	1.534140e-03	0.0223126814	21.486121	-2.334555	0.0293370305	-9.842809e-02	-5.752255e-03	two.sided	0	0.95
MAR01658	23	7	30	0.3750330	0.3943963	-0.0193632968	5.712247e-04	3.751691e-04	0.0088561524	12.138265	-2.186423	0.0490777715	-3.863485e-02	-9.174760e-05	two.sided	0	0.95
MAR01664	23	7	30	0.3750330	0.3943963	-0.0193632968	5.712247e-04	3.751691e-04	0.0088561524	12.138265	-2.186423	0.0490777715	-3.863485e-02	-9.174760e-05	two.sided	0	0.95
MAR01975	23	7	30	8.5773697	8.5565962	 0.0207735658	8.888702e-04	6.765276e-05	0.0069506265	27.966341	 2.988733	0.0057802900	 6.535081e-03	 3.501205e-02	two.sided	0	0.95
MAR02331	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02341	23	7	30	8.5773697	8.5565962	 0.0207735658	8.888702e-04	6.765276e-05	0.0069506265	27.966341	 2.988733	0.0057802900	 6.535081e-03	 3.501205e-02	two.sided	0	0.95
MAR02358	23	7	30	5.1306897	5.0579166	 0.0727730539	6.574727e-03	3.863585e-03	0.0289447485	12.881991	 2.514206	0.0260288647	 1.018345e-02	 1.353627e-01	two.sided	0	0.95
MAR02388	23	7	30	2.5275201	2.5170731	 0.0104470024	1.266441e-04	6.528735e-05	0.0038513671	13.858380	 2.712544	0.0169597632	 2.178715e-03	 1.871529e-02	two.sided	0	0.95
MAR02427	23	7	30	2.6562273	2.6710204	-0.0147931133	5.781529e-04	6.565059e-05	0.0058750097	27.461938	-2.517973	0.0179260340	-2.683816e-02	-2.748070e-03	two.sided	0	0.95
MAR02429	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02431	23	7	30	2.9144207	2.9334105	-0.0189897705	9.664535e-04	1.108124e-04	0.0076059229	27.426050	-2.496708	0.0188294383	-3.458450e-02	-3.395042e-03	two.sided	0	0.95
MAR02432	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02471	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02473	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02474	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02476	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02477	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02479	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02481	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02569	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02626	23	7	30	2.7518257	2.7756880	-0.0238622725	1.354916e-03	1.947010e-04	0.0093125619	26.234710	-2.562375	0.0164768872	-4.299619e-02	-4.728359e-03	two.sided	0	0.95
MAR02702	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02714	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02720	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02742	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02746	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02752	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02755	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02777	23	7	30	2.9144207	2.9334105	-0.0189897705	9.664535e-04	1.108124e-04	0.0076059229	27.426050	-2.496708	0.0188294383	-3.458450e-02	-3.395042e-03	two.sided	0	0.95
MAR02801	23	7	30	2.7518257	2.7756880	-0.0238622725	1.354916e-03	1.947010e-04	0.0093125619	26.234710	-2.562375	0.0164768872	-4.299619e-02	-4.728359e-03	two.sided	0	0.95
MAR02803	23	7	30	2.7518257	2.7756880	-0.0238622725	1.354916e-03	1.947010e-04	0.0093125619	26.234710	-2.562375	0.0164768872	-4.299619e-02	-4.728359e-03	two.sided	0	0.95
MAR02807	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02809	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02851	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02852	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02857	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02859	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02861	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02862	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02865	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02866	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02880	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02882	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02884	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02886	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02888	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02890	23	7	30	2.5414295	2.5681695	-0.0267399864	1.749318e-03	5.135870e-04	0.0122240286	19.246560	-2.187494	0.0412422716	-5.230301e-02	-1.176966e-03	two.sided	0	0.95
MAR02892	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02894	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02949	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02952	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02973	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02981	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02982	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02984	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02991	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02992	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02994	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR02996	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR04144	23	7	30	8.2811159	8.2469357	 0.0341801611	3.062762e-03	5.144747e-04	0.0143756713	25.029634	 2.377639	0.0253763068	 4.574689e-03	 6.378563e-02	two.sided	0	0.95
MAR04150	23	7	30	8.1678997	8.1345360	 0.0333637386	3.570710e-03	5.838979e-04	0.0154486976	25.257088	 2.159647	0.0404867898	 1.562964e-03	 6.516451e-02	two.sided	0	0.95
MAR04151	23	7	30	8.1678997	8.1345360	 0.0333637386	3.570710e-03	5.838979e-04	0.0154486976	25.257088	 2.159647	0.0404867898	 1.562964e-03	 6.516451e-02	two.sided	0	0.95
MAR04237	23	7	30	1.7870278	1.8537758	-0.0667480506	1.586359e-02	2.278893e-03	0.0318634151	26.236789	-2.094818	0.0459865220	-1.322155e-01	-1.280620e-03	two.sided	0	0.95
MAR04257	23	7	30	1.7274336	1.7167549	 0.0106787020	1.689264e-04	1.004702e-04	0.0046580584	12.797793	 2.292522	0.0394910187	 5.993921e-04	 2.075801e-02	two.sided	0	0.95
MAR04274	23	7	30	1.7274336	1.7167549	 0.0106787020	1.689264e-04	1.004702e-04	0.0046580584	12.797793	 2.292522	0.0394910187	 5.993921e-04	 2.075801e-02	two.sided	0	0.95
MAR04275	23	7	30	1.7274336	1.7167549	 0.0106787020	1.689264e-04	1.004702e-04	0.0046580584	12.797793	 2.292522	0.0394910187	 5.993921e-04	 2.075801e-02	two.sided	0	0.95
MAR04276	23	7	30	1.7274336	1.7167549	 0.0106787020	1.689264e-04	1.004702e-04	0.0046580584	12.797793	 2.292522	0.0394910187	 5.993921e-04	 2.075801e-02	two.sided	0	0.95
MAR04457	23	7	30	8.3928777	8.4067530	-0.0138753228	1.800228e-04	1.899397e-05	0.0032466140	27.693846	-4.273783	0.0002046640	-2.052902e-02	-7.221622e-03	two.sided	0	0.95
MAR04596	23	7	30	1.7864390	1.8531812	-0.0667421955	1.589426e-02	2.281800e-03	0.0318908500	26.241232	-2.092832	0.0461761759	-1.322655e-01	-1.218931e-03	two.sided	0	0.95
MAR04597	23	7	30	1.7863671	1.8531099	-0.0667427931	1.590199e-02	2.285399e-03	0.0319041780	26.233857	-2.091977	0.0462616549	-1.322943e-01	-1.191257e-03	two.sided	0	0.95
MAR04683	23	7	30	3.9384087	4.0822749	-0.1438661967	8.982544e-02	6.346706e-03	0.0693694899	27.889127	-2.073912	0.0474366982	-2.859886e-01	-1.743784e-03	two.sided	0	0.95
MAR04686	23	7	30	3.9384087	4.0822749	-0.1438661967	8.982544e-02	6.346706e-03	0.0693694899	27.889127	-2.073912	0.0474366982	-2.859886e-01	-1.743784e-03	two.sided	0	0.95
MAR04807	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR04846	23	7	30	2.1320573	2.1465384	-0.0144811543	4.065915e-04	1.219716e-04	0.0059247279	19.013000	-2.444189	0.0244370175	-2.688118e-02	-2.081130e-03	two.sided	0	0.95
MAR04849	23	7	30	3.2014803	3.1912090	 0.0102713899	2.283695e-04	8.888422e-05	0.0047567694	16.329176	 2.159321	0.0460277532	 2.039852e-04	 2.033879e-02	two.sided	0	0.95
MAR04859	23	7	30	8.3928777	8.4067530	-0.0138753228	1.800228e-04	1.899397e-05	0.0032466140	27.693846	-4.273783	0.0002046640	-2.052902e-02	-7.221622e-03	two.sided	0	0.95
MAR04889	23	7	30	8.3967304	8.4077653	-0.0110349550	1.219988e-04	3.348545e-05	0.0031761502	19.982591	-3.474318	0.0023955883	-1.766066e-02	-4.409252e-03	two.sided	0	0.95
MAR04899	23	7	30	8.3928777	8.4067530	-0.0138753228	1.800228e-04	1.899397e-05	0.0032466140	27.693846	-4.273783	0.0002046640	-2.052902e-02	-7.221622e-03	two.sided	0	0.95
MAR04913	23	7	30	2.7518257	2.7756880	-0.0238622725	1.354916e-03	1.947010e-04	0.0093125619	26.234710	-2.562375	0.0164768872	-4.299619e-02	-4.728359e-03	two.sided	0	0.95
MAR04918	23	7	30	8.3928777	8.4067530	-0.0138753228	1.800228e-04	1.899397e-05	0.0032466140	27.693846	-4.273783	0.0002046640	-2.052902e-02	-7.221622e-03	two.sided	0	0.95
MAR04948	23	7	30	8.4992940	8.5118634	-0.0125693103	4.854352e-04	4.301729e-05	0.0052202688	27.979077	-2.407790	0.0228892066	-2.326291e-02	-1.875714e-03	two.sided	0	0.95
MAR04989	23	7	30	2.6436077	2.6180053	 0.0256023644	3.185997e-03	6.183777e-05	0.0121390109	24.529698	 2.109098	0.0453218737	 5.772762e-04	 5.062745e-02	two.sided	0	0.95
MAR05422	23	7	30	1.7274336	1.7167549	 0.0106787020	1.689264e-04	1.004702e-04	0.0046580584	12.797793	 2.292522	0.0394910187	 5.993921e-04	 2.075801e-02	two.sided	0	0.95
MAR05464	23	7	30	3.1052744	3.0887540	 0.0165204254	4.409320e-04	9.246124e-05	0.0056903168	22.899712	 2.903252	0.0080332452	 4.746255e-03	 2.829460e-02	two.sided	0	0.95
MAR05578	23	7	30	4.2500323	4.1561017	 0.0939306196	1.454067e-02	5.976789e-03	0.0385490589	15.810650	 2.436651	0.0270380852	 1.213065e-02	 1.757306e-01	two.sided	0	0.95
MAR05579	23	7	30	4.2500323	4.1561017	 0.0939306196	1.454067e-02	5.976789e-03	0.0385490589	15.810650	 2.436651	0.0270380852	 1.213065e-02	 1.757306e-01	two.sided	0	0.95
MAR05580	23	7	30	4.2500323	4.1561017	 0.0939306196	1.454067e-02	5.976789e-03	0.0385490589	15.810650	 2.436651	0.0270380852	 1.213065e-02	 1.757306e-01	two.sided	0	0.95
MAR05581	23	7	30	4.2500323	4.1561017	 0.0939306196	1.454067e-02	5.976789e-03	0.0385490589	15.810650	 2.436651	0.0270380852	 1.213065e-02	 1.757306e-01	two.sided	0	0.95
MAR05582	23	7	30	4.2500323	4.1561017	 0.0939306196	1.454067e-02	5.976789e-03	0.0385490589	15.810650	 2.436651	0.0270380852	 1.213065e-02	 1.757306e-01	two.sided	0	0.95
MAR05583	23	7	30	4.2500323	4.1561017	 0.0939306196	1.454067e-02	5.976789e-03	0.0385490589	15.810650	 2.436651	0.0270380852	 1.213065e-02	 1.757306e-01	two.sided	0	0.95
MAR05584	23	7	30	4.2500323	4.1561017	 0.0939306196	1.454067e-02	5.976789e-03	0.0385490589	15.810650	 2.436651	0.0270380852	 1.213065e-02	 1.757306e-01	two.sided	0	0.95
MAR05585	23	7	30	4.2467862	4.1531352	 0.0936510196	1.481698e-02	5.971370e-03	0.0386945664	15.996117	 2.420263	0.0277782110	 1.162058e-02	 1.756815e-01	two.sided	0	0.95
MAR05586	23	7	30	4.2467862	4.1531352	 0.0936510196	1.481698e-02	5.971370e-03	0.0386945664	15.996117	 2.420263	0.0277782110	 1.162058e-02	 1.756815e-01	two.sided	0	0.95
MAR05593	23	7	30	3.5353839	3.4996056	 0.0357782203	3.503974e-03	6.881019e-04	0.0158318345	23.569553	 2.259891	0.0333593261	 3.071312e-03	 6.848513e-02	two.sided	0	0.95
MAR05712	23	7	30	3.5364492	3.5039240	 0.0325251446	4.403321e-03	3.803148e-04	0.0156773538	27.992382	 2.074658	0.0473273246	 4.111473e-04	 6.463914e-02	two.sided	0	0.95
MAR05713	23	7	30	3.5364492	3.5039240	 0.0325251446	4.403321e-03	3.803148e-04	0.0156773538	27.992382	 2.074658	0.0473273246	 4.111473e-04	 6.463914e-02	two.sided	0	0.95
MAR05714	23	7	30	3.5364492	3.5039240	 0.0325251446	4.403321e-03	3.803148e-04	0.0156773538	27.992382	 2.074658	0.0473273246	 4.111473e-04	 6.463914e-02	two.sided	0	0.95
MAR05715	23	7	30	3.5329988	3.5003596	 0.0326391980	4.357535e-03	3.531555e-04	0.0154889910	27.997347	 2.107251	0.0441810219	 9.113027e-04	 6.436709e-02	two.sided	0	0.95
MAR05718	23	7	30	3.5329988	3.5003596	 0.0326391980	4.357535e-03	3.531555e-04	0.0154889910	27.997347	 2.107251	0.0441810219	 9.113027e-04	 6.436709e-02	two.sided	0	0.95
MAR05721	23	7	30	3.5329988	3.5003596	 0.0326391980	4.357535e-03	3.531555e-04	0.0154889910	27.997347	 2.107251	0.0441810219	 9.113027e-04	 6.436709e-02	two.sided	0	0.95
MAR05907	23	7	30	4.0141712	3.9691580	 0.0450132065	4.191076e-03	1.825799e-03	0.0210487330	15.278218	 2.138523	0.0490175140	 2.199463e-04	 8.980647e-02	two.sided	0	0.95
MAR05923	23	7	30	4.0141712	3.9691580	 0.0450132065	4.191076e-03	1.825799e-03	0.0210487330	15.278218	 2.138523	0.0490175140	 2.199463e-04	 8.980647e-02	two.sided	0	0.95
MAR05927	23	7	30	3.9070295	3.8626191	 0.0444103613	5.371523e-03	1.411692e-03	0.0208618016	20.459900	 2.128788	0.0455980228	 9.560292e-04	 8.786469e-02	two.sided	0	0.95
MAR05939	23	7	30	4.0141712	3.9691580	 0.0450132065	4.191076e-03	1.825799e-03	0.0210487330	15.278218	 2.138523	0.0490175140	 2.199463e-04	 8.980647e-02	two.sided	0	0.95
MAR05971	23	7	30	4.0141712	3.9691580	 0.0450132065	4.191076e-03	1.825799e-03	0.0210487330	15.278218	 2.138523	0.0490175140	 2.199463e-04	 8.980647e-02	two.sided	0	0.95
MAR05990	23	7	30	3.7275913	3.6993678	 0.0282235220	1.423749e-03	7.645708e-04	0.0130815342	13.541841	 2.157509	0.0494585085	 7.710418e-05	 5.636994e-02	two.sided	0	0.95
MAR06355	23	7	30	3.0394762	2.9892456	 0.0502306168	7.294465e-03	1.405393e-03	0.0227578781	23.758961	 2.207175	0.0372135985	 3.235435e-03	 9.722580e-02	two.sided	0	0.95
MAR06524	23	7	30	3.8756637	3.8359895	 0.0396742128	3.108412e-03	1.081731e-03	0.0170200276	17.444897	 2.331031	0.0319767507	 3.834728e-03	 7.551370e-02	two.sided	0	0.95
