name	pvalue	mean.diff
MAR11303	0.0048912088	-0.0331577809
MAR11337	0.0076973000	-0.0119492511
MAR11443	0.0293370305	-0.0520901750
MAR11896	0.0242474138	-0.0176311407
MAR11897	0.0242474138	-0.0176311407
MAR11930	0.0485043906	-0.0079066633
MAR11958	0.0453690322	-0.0035214501
MAR11959	0.0453690322	-0.0035214501
MAR12460	0.0278210798	 0.0305638434
MAR12705	0.0006464881	-0.0068952452
MAR12706	0.0006464881	-0.0068952452
MAR12713	0.0405170872	 0.0100711831
MAR12714	0.0405170872	 0.0100711831
MAR12859	0.0405170872	 0.0100711831
MAR12860	0.0405170872	 0.0100711831
MAR12986	0.0405170872	 0.0100711831
MAR12987	0.0405170872	 0.0100711831
MAR13041	0.0114250689	-0.0060622245
MAR13052	0.0023807401	-0.0082960509
