*Intra   
#level node node weight
1 COL16A1 RP11-84A19.3 1
1 COL16A1 6867 1
1 COL16A1 6868 1
1 COL16A1 6869 1
1 COL16A1 6870 1
1 COL16A1 6871 1
1 COL16A1 6893 1
1 COL16A1 6900 1
1 COL16A1 6901 1
1 COL16A1 6902 1
1 COL16A1 6904 1
1 COL16A1 6907 1
1 COL16A1 6909 1
1 COL16A1 6910 1
1 COL16A1 6911 1
1 COL16A1 6920 1
1 COL16A1 6927 1
1 COL16A1 6928 1
1 COL16A1 6929 1
1 COL16A1 6930 1
1 COL16A1 6934 1
1 COL16A1 6846 1
1 RP11-84A19.3 COL16A1 1
1 AL136115.1 COL16A1 1
1 TXLNA COL16A1 1
1 TXLNA SYNC 1
1 BSDC1 SYNC 1
1 SYNC 6990 1
1 SYNC BSDC1 1
1 SYNC 6993 1
1 SYNC 6996 1
1 SYNC 7008 1
1 SYNC 7009 1
1 SYNC 7010 1
1 SYNC 7012 1
1 SYNC 7014 1
1 SYNC 7015 1
1 SYNC 7017 1
1 SYNC 7019 1
1 SYNC 7047 1
1 SYNC 7058 1
1 SYNC 7059 1
1 SYNC 7060 1
1 SYNC 7061 1
1 SYNC 7062 1
1 SYNC 7063 1
1 SYNC 7064 1
1 SYNC 7065 1
1 SYNC 7066 1
1 SYNC 7067 1
1 SYNC 7069 1
1 SYNC 7073 1
1 SYNC 7074 1
1 SYNC 7075 1
1 SYNC 7076 1
1 SYNC 7077 1
1 SYNC 7078 1
1 SYNC 7079 1
1 SYNC FNDC5 1
1 SYNC 7082 1
1 FNDC5 SYNC 1
1 RNF19B SYNC 1
1 CSMD2 3040 1
1 CSMD2 7248 1
1 CSMD2 7250 1
1 CSMD2 7268 1
1 CSMD2 7416 1
1 CSMD2 7417 1
1 CSMD2 7421 1
1 CSMD2 7569 1
1 CSMD2 7574 1
1 CSMD2 7599 1
1 AGO4 ADPRHL2 1
1 AGO1 ADPRHL2 1
1 AGO3 ADPRHL2 1
1 RP4-789D17.5 ADPRHL2 1
1 ADPRHL2 7865 1
1 ADPRHL2 7866 1
1 ADPRHL2 7867 1
1 ADPRHL2 7868 1
1 ADPRHL2 7870 1
1 ADPRHL2 7871 1
1 ADPRHL2 7872 1
1 ADPRHL2 7873 1
1 ADPRHL2 7875 1
1 ADPRHL2 7876 1
1 ADPRHL2 7877 1
1 ADPRHL2 7878 1
1 ADPRHL2 AGO1 1
1 ADPRHL2 7880 1
1 ADPRHL2 7883 1
1 ADPRHL2 7884 1
1 ADPRHL2 7885 1
1 ADPRHL2 7887 1
1 ADPRHL2 7888 1
1 ADPRHL2 7889 1
1 ADPRHL2 7890 1
1 ADPRHL2 7895 1
1 ADPRHL2 7896 1
1 ADPRHL2 7923 1
1 ADPRHL2 7924 1
1 ADPRHL2 7925 1
1 ADPRHL2 7926 1
1 ADPRHL2 7932 1
1 ADPRHL2 7938 1
1 ADPRHL2 7963 1
1 ADPRHL2 7964 1
1 ADPRHL2 7965 1
1 ADPRHL2 7966 1
1 ADPRHL2 7967 1
1 ADPRHL2 7968 1
1 ADPRHL2 7969 1
1 ADPRHL2 7970 1
1 ADPRHL2 7971 1
1 ADPRHL2 7972 1
1 ADPRHL2 7973 1
1 ADPRHL2 7975 1
1 ADPRHL2 7988 1
1 ADPRHL2 7993 1
1 ADPRHL2 OSCP1 1
1 ADPRHL2 SNORA63 1
1 ADPRHL2 7995 1
1 ADPRHL2 7996 1
1 ADPRHL2 7998 1
1 ADPRHL2 7999 1
1 ADPRHL2 8000 1
1 ADPRHL2 8006 1
1 C1orf109 KIF17 1
1 CDCA8 KIF17 1
1 PPIE BMP8B 1
1 BMP8B 8808 1
1 BMP8B 8809 1
1 BMP8B 8830 1
1 BMP8B 8852 1
1 BMP8B 8884 1
1 BMP8B 8885 1
1 BMP8B 8886 1
1 BMP8B 8889 1
1 BMP8B 8890 1
1 BMP8B 8898 1
1 BMP8B 8900 1
1 CITED4 BMP8B 1
1 RP5-1066H13.4 BMP8B 1
1 CTPS1 BMP8B 1
1 CDC20 9662 1
1 CDC20 9691 1
1 CDC20 9693 1
1 CDC20 9695 1
1 CDC20 9698 1
1 CDC20 9753 1
1 CDC20 9760 1
1 CDC20 9761 1
1 CDC20 9764 1
1 CDC20 9765 1
1 CDC20 9766 1
1 CDC20 9767 1
1 CDC20 9769 1
1 CDC20 9770 1
1 CDC20 9771 1
1 CDC20 9772 1
1 CDC20 9773 1
1 CDC20 9774 1
1 CDC20 9777 1
1 CDC20 9798 1
1 CDC20 9799 1
1 CDC20 9800 1
1 CDC20 9900 1
1 MED8 CDC20 1
1 SZT2 CDC20 1
1 PTPRF ARTN 1
1 KDM4A ARTN 1
1 KDM4A-AS1 ARTN 1
1 ST3GAL3 ARTN 1
1 RNU6-1058P ARTN 1
1 RP11-184I16.4 ARTN 1
1 ARTN PTPRF 1
1 ARTN 9826 1
1 ARTN 9827 1
1 ARTN 9828 1
1 ARTN 9829 1
1 ARTN 9830 1
1 ARTN 9832 1
1 ARTN 9849 1
1 ARTN 9850 1
1 ARTN 9852 1
1 ARTN KDM4A-AS1 1
1 ARTN ST3GAL3 1
1 ARTN 9854 1
1 ARTN RNU6-1058P 1
1 ARTN 9857 1
1 ARTN RP11-184I16.4 1
1 ARTN 9859 1
1 ARTN 9860 1
1 ARTN 9861 1
1 ARTN 9862 1
1 ARTN 9863 1
1 ARTN 9864 1
1 ARTN 9865 1
1 ARTN 9867 1
1 ARTN 9869 1
1 ARTN 9870 1
1 ARTN 9872 1
1 ARTN 9873 1
1 ARTN 9875 1
1 ARTN 9876 1
1 ARTN 9879 1
1 ARTN 9880 1
1 ATP6V0B CDC20 1
1 CCDC24 CDC20 1
1 C1orf228 TESK2 1
1 TMEM53 TESK2 1
1 RNU5F-1 TESK2 1
1 RNU5D-1 TESK2 1
1 KIF2C TESK2 1
1 RP11-269F19.2 TESK2 1
1 RPS8 TESK2 1
1 SNORD55 TESK2 1
1 SNORD38A TESK2 1
1 SNORD46 TESK2 1
1 RPS15AP11 TESK2 1
1 SNORD38B TESK2 1
1 BEST4 TESK2 1
1 BTBD19 TESK2 1
1 PLK3 TESK2 1
1 TCTEX1D4 TESK2 1
1 PTCH2 TESK2 1
1 RNU5E-6P TESK2 1
1 RP5-882O7.1 TESK2 1
1 EIF2B3 TESK2 1
1 RP5-882O7.4 TESK2 1
1 HECTD3 TESK2 1
1 UROD TESK2 1
1 HPDL TESK2 1
1 MUTYH TESK2 1
1 TOE1 TESK2 1
1 snoU13 TESK2 1
1 TESK2 10075 1
1 TESK2 10076 1
1 TESK2 10086 1
1 TESK2 C1orf228 1
1 TESK2 TMEM53 1
1 TESK2 10088 1
1 TESK2 10089 1
1 TESK2 10091 1
1 TESK2 10093 1
1 TESK2 10097 1
1 TESK2 10099 1
1 TESK2 10100 1
1 TESK2 10102 1
1 TESK2 10103 1
1 TESK2 RNU5F-1 1
1 TESK2 10105 1
1 TESK2 10106 1
1 TESK2 RNU5D-1 1
1 TESK2 10108 1
1 TESK2 KIF2C 1
1 TESK2 10110 1
1 TESK2 10111 1
1 TESK2 RP11-269F19.2 1
1 TESK2 RPS8 1
1 TESK2 SNORD55 1
1 TESK2 SNORD38A 1
1 TESK2 SNORD46 1
1 TESK2 RPS15AP11 1
1 TESK2 SNORD38B 1
1 TESK2 BEST4 1
1 TESK2 10120 1
1 TESK2 BTBD19 1
1 TESK2 PLK3 1
1 TESK2 TCTEX1D4 1
1 TESK2 10123 1
1 TESK2 PTCH2 1
1 TESK2 RNU5E-6P 1
1 TESK2 10125 1
1 TESK2 RP5-882O7.1 1
1 TESK2 10127 1
1 TESK2 10129 1
1 TESK2 10130 1
1 TESK2 10153 1
1 TESK2 EIF2B3 1
1 TESK2 RP5-882O7.4 1
1 TESK2 10155 1
1 TESK2 10157 1
1 TESK2 10158 1
1 TESK2 HECTD3 1
1 TESK2 UROD 1
1 TESK2 10161 1
1 TESK2 10162 1
1 TESK2 10164 1
1 TESK2 10165 1
1 TESK2 10166 1
1 TESK2 10238 1
1 TESK2 10239 1
1 TESK2 10240 1
1 TESK2 10241 1
1 TESK2 10242 1
1 TESK2 10243 1
1 TESK2 HPDL 1
1 TESK2 MUTYH 1
1 TESK2 10245 1
1 TESK2 TOE1 1
1 TESK2 10248 1
1 TESK2 10249 1
1 TESK2 10250 1
1 TESK2 snoU13 1
1 TESK2 10252 1
1 TESK2 10253 1
1 TESK2 10254 1
1 TESK2 10255 1
1 TESK2 10256 1
1 TESK2 10257 1
1 TESK2 10258 1
1 TESK2 10260 1
1 TESK2 10261 1
1 TESK2 10262 1
1 TESK2 10263 1
1 TESK2 10264 1
1 TESK2 10265 1
1 TESK2 10266 1
1 NASP TESK2 1
1 CMPK1 GDAP2 1
1 CYP2J2 13389 1
1 CYP2J2 13909 1
1 CYP2J2 13934 1
1 CYP2J2 DAB1 1
1 CYP2J2 OMA1 1
1 CYP2J2 MYSM1 1
1 CYP2J2 13995 1
1 CYP2J2 14001 1
1 CYP2J2 14003 1
1 CYP2J2 14004 1
1 CYP2J2 14956 1
1 CYP2J2 RNU6-1177P 1
1 CYP2J2 14962 1
1 KANK4 15083 1
1 KANK4 15103 1
1 DIRAS3 16653 1
1 DIRAS3 GNG12-AS1 1
1 DIRAS3 GNG12 1
1 DIRAS3 16752 1
1 DIRAS3 16760 1
1 DIRAS3 16820 1
1 DIRAS3 17355 1
1 LRRC40 GDAP2 1
1 SRSF11 GDAP2 1
1 RP4-677H15.4 GDAP2 1
1 ANKRD13C GDAP2 1
1 HHLA3 GDAP2 1
1 MIR186 GDAP2 1
1 ZRANB2 GDAP2 1
1 ZRANB2-AS2 GDAP2 1
1 RABGGTB GDAP2 1
1 SNORD45A GDAP2 1
1 SNORD45B GDAP2 1
1 SNORD45C GDAP2 1
1 ZZZ3 GDAP2 1
1 FAM73A GDAP2 1
1 RNA5SP21 GDAP2 1
1 SYDE2 22402 1
1 CCBL2 GBP7 1
1 RBMXL1 GBP7 1
1 GBP2 GBP7 1
1 GBP7 23739 1
1 GBP7 23740 1
1 GBP7 23742 1
1 GBP7 23743 1
1 GBP7 23745 1
1 GBP7 23746 1
1 GBP7 23748 1
1 GBP7 23749 1
1 GBP7 23750 1
1 GBP7 23751 1
1 GBP7 23752 1
1 GBP7 23753 1
1 GBP7 23755 1
1 GBP7 23757 1
1 GBP7 23760 1
1 GBP7 23761 1
1 GBP7 23762 1
1 GBP7 23771 1
1 GBP7 23775 1
1 GBP7 23784 1
1 GBP7 23789 1
1 GBP7 23790 1
1 GBP7 23791 1
1 GBP7 23792 1
1 GBP7 23793 1
1 GBP7 23794 1
1 GBP7 23795 1
1 GBP7 23796 1
1 GBP7 23797 1
1 GBP7 23798 1
1 GBP7 23799 1
1 GBP7 23801 1
1 GBP7 23848 1
1 GBP7 23849 1
1 GBP7 RP4-620F22.2 1
1 GBP7 23852 1
1 GBP7 23853 1
1 GBP7 23854 1
1 GBP7 GBP5 1
1 GBP7 23860 1
1 GBP7 23861 1
1 GBP7 23862 1
1 GBP7 23868 1
1 GBP7 23869 1
1 GBP7 23873 1
1 GBP7 23874 1
1 GBP7 23875 1
1 GBP7 23877 1
1 GBP7 23878 1
1 GBP7 23879 1
1 GBP7 23880 1
1 GBP7 23881 1
1 GBP7 23883 1
1 GBP7 23884 1
1 GBP7 23885 1
1 GBP7 GBP6 1
1 GBP7 23889 1
1 GBP7 23890 1
1 GBP7 23893 1
1 GBP7 23894 1
1 GBP7 23895 1
1 GBP7 23896 1
1 GBP7 23899 1
1 GBP7 23900 1
1 GBP7 23902 1
1 GBP7 23903 1
1 GBP7 23904 1
1 GBP7 23905 1
1 GBP7 23908 1
1 GBP7 23909 1
1 GBP7 23910 1
1 GBP7 23911 1
1 GBP7 23912 1
1 GBP7 23913 1
1 GBP7 23914 1
1 GBP7 23915 1
1 GBP7 23916 1
1 GBP7 23917 1
1 GBP7 23918 1
1 GBP7 23919 1
1 GBP7 23920 1
1 GBP7 23930 1
1 RP4-620F22.2 GBP7 1
1 GBP5 GBP7 1
1 GBP6 GBP7 1
1 snoU13 GBP7 1
1 PALMD 26837 1
1 PALMD 26838 1
1 PALMD 26846 1
1 PALMD 26849 1
1 PALMD 26850 1
1 PALMD 26851 1
1 PALMD 26854 1
1 PALMD 26856 1
1 PALMD 26859 1
1 PALMD 26987 1
1 PALMD 26992 1
1 PALMD 26998 1
1 PALMD 26999 1
1 PALMD 27000 1
1 PALMD 27001 1
1 PALMD 27002 1
1 PALMD 27007 1
1 PALMD 27011 1
1 SASS6 GDAP2 1
1 TRMT13 GDAP2 1
1 RN7SKP285 GDAP2 1
1 RNPC3 GDAP2 1
1 RP11-153F1.1 GDAP2 1
1 AMY2B GDAP2 1
1 PRMT6 GDAP2 1
1 CLCC1 29997 1
1 CLCC1 30009 1
1 CLCC1 30014 1
1 CLCC1 RP5-1065J22.8 1
1 CLCC1 TMEM167B 1
1 CLCC1 C1orf194 1
1 CLCC1 KIAA1324 1
1 CLCC1 RNU7-122P 1
1 GPR61 GSTM3 1
1 RP5-1160K1.8 GSTM3 1
1 GNAI3 GSTM3 1
1 GSTM4 GSTM3 1
1 GSTM3 30188 1
1 GSTM3 30200 1
1 GSTM3 30204 1
1 GSTM3 30205 1
1 GSTM3 30210 1
1 GSTM3 30211 1
1 GSTM3 GPR61 1
1 GSTM3 RP5-1160K1.8 1
1 GSTM3 30215 1
1 GSTM3 30220 1
1 GSTM3 30231 1
1 GSTM3 30233 1
1 GSTM3 30235 1
1 GSTM3 30236 1
1 GSTM3 30237 1
1 GSTM3 GSTM4 1
1 GSTM3 30259 1
1 GSTM3 30260 1
1 GSTM3 30264 1
1 GSTM3 30302 1
1 GSTM3 30303 1
1 GSTM3 30305 1
1 GSTM3 30306 1
1 GSTM3 30307 1
1 GSTM3 30308 1
1 GSTM3 30309 1
1 GSTM3 30310 1
1 GSTM3 AHCYL1 1
1 GSTM3 30313 1
1 GSTM3 30314 1
1 GSTM3 30315 1
1 GSTM3 30316 1
1 GSTM3 30317 1
1 GSTM3 30318 1
1 GSTM3 30319 1
1 GSTM3 30320 1
1 GSTM3 30336 1
1 AHCYL1 GSTM3 1
1 BCAS2 GDAP2 1
1 CSDE1 GDAP2 1
1 NRAS GDAP2 1
1 SIKE1 GDAP2 1
1 RNU6-817P GDAP2 1
1 RP11-27K13.3 GDAP2 1
1 TTF2 GDAP2 1
1 MAN1A2 GDAP2 1
1 RP11-188D8.1 GDAP2 1
1 AL157902.3 GDAP2 1
1 FAM46C GDAP2 1
1 GDAP2 USP1 1
1 GDAP2 17511 1
1 GDAP2 17512 1
1 GDAP2 RP4-677H15.4 1
1 GDAP2 SRSF11 1
1 GDAP2 17515 1
1 GDAP2 MIR186 1
1 GDAP2 ZRANB2 1
1 GDAP2 17778 1
1 GDAP2 17779 1
1 GDAP2 ZRANB2-AS2 1
1 GDAP2 17783 1
1 GDAP2 19308 1
1 GDAP2 19329 1
1 GDAP2 FAM73A 1
1 GDAP2 RNA5SP21 1
1 GDAP2 24403 1
1 GDAP2 27175 1
1 GDAP2 27291 1
1 GDAP2 SASS6 1
1 GDAP2 TRMT13 1
1 GDAP2 RN7SKP285 1
1 GDAP2 RNPC3 1
1 GDAP2 RP11-153F1.1 1
1 GDAP2 28435 1
1 GDAP2 PRMT6 1
1 GDAP2 29515 1
1 GDAP2 30583 1
1 GDAP2 31658 1
1 GDAP2 31662 1
1 GDAP2 31665 1
1 GDAP2 31717 1
1 GDAP2 31718 1
1 GDAP2 CSDE1 1
1 GDAP2 NRAS 1
1 GDAP2 31720 1
1 GDAP2 31721 1
1 GDAP2 31722 1
1 GDAP2 31734 1
1 GDAP2 31735 1
1 GDAP2 31737 1
1 GDAP2 31738 1
1 GDAP2 31740 1
1 GDAP2 31742 1
1 GDAP2 31745 1
1 GDAP2 31826 1
1 GDAP2 31829 1
1 GDAP2 31835 1
1 GDAP2 31836 1
1 GDAP2 32148 1
1 GDAP2 32222 1
1 GDAP2 32224 1
1 GDAP2 32225 1
1 GDAP2 ATP1A1 1
1 GDAP2 32228 1
1 GDAP2 32279 1
1 GDAP2 32289 1
1 GDAP2 32293 1
1 GDAP2 32294 1
1 GDAP2 32340 1
1 GDAP2 32414 1
1 GDAP2 32422 1
1 GDAP2 32423 1
1 GDAP2 RP11-27K13.3 1
1 GDAP2 TTF2 1
1 GDAP2 32427 1
1 GDAP2 32428 1
1 GDAP2 32429 1
1 GDAP2 32430 1
1 GDAP2 32431 1
1 GDAP2 32433 1
1 GDAP2 32435 1
1 GDAP2 32436 1
1 GDAP2 32439 1
1 GDAP2 32443 1
1 GDAP2 32446 1
1 GDAP2 32447 1
1 GDAP2 TRIM45 1
1 GDAP2 32449 1
1 GDAP2 32450 1
1 GDAP2 32451 1
1 GDAP2 32515 1
1 GDAP2 MAN1A2 1
1 GDAP2 RP11-188D8.1 1
1 GDAP2 32518 1
1 GDAP2 32519 1
1 GDAP2 32520 1
1 GDAP2 32551 1
1 GDAP2 32554 1
1 GDAP2 32555 1
1 GDAP2 32557 1
1 GDAP2 32558 1
1 GDAP2 32559 1
1 GDAP2 32560 1
1 GDAP2 32564 1
1 GDAP2 32566 1
1 GDAP2 32569 1
1 GDAP2 32589 1
1 GDAP2 AL157902.3 1
1 GDAP2 FAM46C 1
1 GDAP2 32591 1
1 GDAP2 32592 1
1 GDAP2 33113 1
1 GDAP2 33114 1
1 GDAP2 33115 1
1 GDAP2 33116 1
1 GDAP2 33118 1
1 GDAP2 33258 1
1 GDAP2 34155 1
1 GDAP2 34191 1
1 GDAP2 34206 1
1 GDAP2 34208 1
1 GDAP2 34209 1
1 GDAP2 34210 1
1 GDAP2 RAB3GAP2 1
1 RP11-418J17.1 GDAP2 1
1 WARS2 GDAP2 1
1 ZNF697 GDAP2 1
1 LIX1L HIST2H2AA3 1
1 HIST2H2AA3 34072 1
1 HIST2H2AA3 34211 1
1 HIST2H2AA3 34212 1
1 HIST2H2AA3 34213 1
1 HIST2H2AA3 35127 1
1 HIST2H2AA3 35325 1
1 HIST2H2AA3 35327 1
1 HIST2H2AA3 35328 1
1 HIST2H2AA3 35329 1
1 HIST2H2AA3 35330 1
1 HIST2H2AA3 HIST2H2AA4 1
1 HIST2H2AA3 HIST2H2BC 1
1 HIST2H2AA3 HIST2H2BE 1
1 HIST2H2AA3 BOLA1 1
1 HIST2H2AA3 HIST2H2AB 1
1 HIST2H2AA3 HIST2H2AC 1
1 HIST2H2AA3 35343 1
1 HIST2H2AA3 35345 1
1 HIST2H2AA3 35346 1
1 HIST2H2AA3 35349 1
1 HIST2H2AA3 35351 1
1 HIST2H2AA3 35358 1
1 HIST2H2AA3 35359 1
1 HIST2H2AA3 35378 1
1 HIST2H2AA3 35380 1
1 HIST2H2AA3 35385 1
1 HIST2H2AA3 35386 1
1 HIST2H2AA3 35387 1
1 HIST2H2AA3 35388 1
1 HIST2H2AA3 35389 1
1 HIST2H2AA3 35390 1
1 HIST2H2AA3 35391 1
1 HIST2H2AA3 VPS45 1
1 HIST2H2AA3 35393 1
1 HIST2H2AA3 35394 1
1 HIST2H2AA3 35395 1
1 HIST2H2AA3 35396 1
1 HIST2H2AA3 35399 1
1 HIST2H2AA3 35404 1
1 HIST2H2AA3 35414 1
1 HIST2H2AA3 PLEKHO1 1
1 HIST2H2AA3 35416 1
1 HIST2H2AA3 35417 1
1 HIST2H2AA3 35418 1
1 HIST2H2AA3 35420 1
1 HIST2H2AA3 35421 1
1 HIST2H2AA3 35422 1
1 HIST2H2AA3 35423 1
1 HIST2H2AA3 35424 1
1 HIST2H2AA3 35425 1
1 HIST2H2AA3 35426 1
1 HIST2H2AA3 35427 1
1 HIST2H2AA3 35428 1
1 HIST2H2AA3 35434 1
1 HIST2H2AA3 35490 1
1 HIST2H2AA3 35491 1
1 HIST2H2AA3 35492 1
1 HIST2H2AA3 37352 1
1 HIST2H2AA3 37399 1
1 HIST2H2AA3 273877 1
1 HIST2H2AA3 273878 1
1 HIST2H2AA3 HIST1H1A 1
1 HIST2H2AA3 HIST1H3A 1
1 HIST2H2AA3 HIST1H4A 1
1 HIST2H2AA3 618280 1
1 HIST2H2AA3 618281 1
1 HIST2H2AA3 618282 1
1 HIST2H2AA3 HIST1H4B 1
1 HIST2H2AA3 HIST1H3B 1
1 HIST2H2AA3 HIST1H2AB 1
1 HIST2H2AA3 HIST1H2BB 1
1 HIST2H2AA3 HIST1H3C 1
1 HIST2H2AA3 U91328.2 1
1 HIST2H2AA3 HIST1H1C 1
1 HIST2H2AA3 618289 1
1 HIST2H2AA3 618291 1
1 HIST2H2AA3 618292 1
1 HIST2H2AA3 618300 1
1 HIST2H2AA3 HIST1H4C 1
1 HIST2H2AA3 HIST1H1T 1
1 HIST2H2AA3 HIST1H2AC 1
1 HIST2H2AA3 HIST1H2BC 1
1 HIST2H2AA3 618305 1
1 HIST2H2AA3 HIST1H1E 1
1 HIST2H2AA3 HIST1H2BD 1
1 HIST2H2AA3 618309 1
1 HIST2H2AA3 618310 1
1 HIST2H2AA3 HIST1H2BE 1
1 HIST2H2AA3 LARP1P1 1
1 HIST2H2AA3 618312 1
1 HIST2H2AA3 HIST1H1PS1 1
1 HIST2H2AA3 HIST1H4D 1
1 HIST2H2AA3 618315 1
1 HIST2H2AA3 HIST1H2AD 1
1 HIST2H2AA3 HIST1H3D 1
1 HIST2H2AA3 HIST1H2BF 1
1 HIST2H2AA3 HIST1H4E 1
1 HIST2H2AA3 RP1-34B20.4 1
1 HIST2H2AA3 618318 1
1 HIST2H2AA3 618319 1
1 HIST2H2AA3 618321 1
1 HIST2H2AA3 HIST1H2APS3 1
1 HIST2H2AA3 HIST1H3E 1
1 HIST2H2AA3 618324 1
1 HIST2H2AA3 618326 1
1 HIST2H2AA3 618327 1
1 HIST2H2AA3 HIST1H4G 1
1 HIST2H2BD HIST1H4G 1
1 HIST2H2AA3 HIST1H3F 1
1 HIST2H2AA3 HIST1H2BH 1
1 HIST2H2AA3 618336 1
1 HIST2H2AA3 HIST1H2APS4 1
1 HIST2H2AA3 HIST1H2BI 1
1 HIST2H2AA3 HIST1H3G 1
1 HIST2H2AA3 618340 1
1 HIST2H2AA3 HIST1H4H 1
1 HIST2H2AA3 HIST1H2AG 1
1 HIST2H2AA3 HIST1H2BJ 1
1 HIST2H2AA3 618601 1
1 HIST2H2AA3 HIST1H4I 1
1 HIST2H2AA3 618603 1
1 HIST2H2AA3 618604 1
1 HIST2H2AA3 HIST1H2AH 1
1 HIST2H2AA3 HIST1H2BK 1
1 HIST2H2AA3 MIR3143 1
1 HIST2H2AA3 HIST1H3H 1
1 HIST2H2AA3 618797 1
1 HIST2H2AA3 618800 1
1 HIST2H2AA3 HIST1H4J 1
1 HIST2H2AA3 HIST1H4K 1
1 HIST2H2AA3 618803 1
1 HIST2H2AA3 HIST1H2AL 1
1 HIST2H2AA3 HIST1H2BPS2 1
1 HIST2H2AA3 HIST1H3I 1
1 HIST2H2AA3 HIST1H4L 1
1 HIST2H2AA3 HIST1H2AM 1
1 HIST2H2AA3 HIST1H3J 1
1 HIST2H2AA3 HIST1H2BO 1
1 HIST2H2AA4 HIST2H2AA3 1
1 HIST2H2BC HIST2H2AA3 1
1 HIST2H2AA4 HIST1H4G 1
1 HIST2H2BC HIST1H4G 1
1 HIST2H2BE HIST2H2AA3 1
1 HIST2H2BE HIST1H4G 1
1 BOLA1 HIST2H2AA3 1
1 HIST2H2AB HIST2H2AA3 1
1 HIST2H2AC HIST2H2AA3 1
1 BOLA1 HIST1H4G 1
1 HIST2H2AB HIST1H4G 1
1 HIST2H2AC HIST1H4G 1
1 VPS45 HIST2H2AA3 1
1 PLEKHO1 HIST2H2AA3 1
1 CDC42SE1 SCNM1 1
1 GABPB2 SCNM1 1
1 SCNM1 35592 1
1 SCNM1 35593 1
1 SCNM1 35595 1
1 SCNM1 FAM63A 1
1 SCNM1 PRUNE 1
1 SCNM1 RNU6-884P 1
1 SCNM1 35598 1
1 SCNM1 35605 1
1 SCNM1 35606 1
1 SCNM1 35607 1
1 SCNM1 35608 1
1 SCNM1 35609 1
1 SCNM1 35610 1
