nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_logFC GRN_P.Value GRN_eigenvalue GRN_Page_Rank GRN_size GRN_nes GRN_pval fPPI_Mutations_of_interest_vs_Group_control_diff fPPI_Mutations_of_interest_vs_Group_control_p.val Metabo_mean.diff Metabo_pvalue
199 frag_103807 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
200 frag_103816 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
201 frag_103820 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
202 frag_103821 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
203 frag_103822 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
204 frag_103827 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
205 frag_103829 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
206 frag_103830 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
207 frag_103832 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
208 frag_103833 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
209 frag_103834 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
210 frag_103835 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
211 frag_103837 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
212 frag_103838 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
213 frag_103861 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
214 frag_103864 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
215 frag_103866 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
216 frag_103867 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
217 frag_103871 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
218 frag_103875 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
219 frag_103876 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
220 frag_103877 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
221 frag_103880 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
222 frag_103881 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
223 frag_103887 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
224 frag_103888 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
225 frag_103890 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
226 frag_103891 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
227 frag_103897 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
228 frag_103898 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
229 frag_103903 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
230 frag_103904 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
231 frag_103905 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
232 frag_103906 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
233 frag_103907 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
234 frag_103908 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
235 frag_103909 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
236 frag_103911 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
237 frag_104126 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
238 frag_104278 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
239 frag_104458 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
240 frag_104459 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
241 frag_104465 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
242 frag_104467 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
243 frag_104468 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
244 frag_104469 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
245 frag_104470 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
246 frag_104473 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
247 frag_104474 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
248 frag_104475 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
249 frag_104478 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
250 frag_104479 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
251 frag_104481 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
252 frag_104488 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
253 frag_104489 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
254 frag_104626 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
255 frag_104628 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
256 frag_104630 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
257 frag_104632 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
258 frag_104633 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
259 frag_104634 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
