nodeID	nodeLabel	DNA_methylation_logFC	DNA_methylation_P.Value	GRN_logFC	GRN_P.Value	GRN_eigenvalue	GRN_Page_Rank	GRN_size	GRN_nes	GRN_pval	fPPI_Mutations_of_interest_vs_Group_control_diff	fPPI_Mutations_of_interest_vs_Group_control_p.val	Metabo_mean.diff	Metabo_pvalue	eigen_pchic
42	frag_10158	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
43	frag_10161	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
44	frag_10162	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
45	frag_10164	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
46	frag_10165	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
47	frag_10166	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
48	frag_10238	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
49	frag_10239	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
50	frag_10240	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
51	frag_10241	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
52	frag_10242	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
53	frag_10243	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
54	frag_10245	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
55	frag_10248	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
56	frag_10249	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
57	frag_10250	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
58	frag_10252	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
59	frag_10253	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
60	frag_10254	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
61	frag_10255	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
62	frag_10256	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
63	frag_10257	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
64	frag_10258	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
65	frag_10260	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
66	frag_10261	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
67	frag_10262	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
68	frag_10263	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
69	frag_10264	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
70	frag_10265	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
72	frag_10266	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
73	frag_102864	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
74	frag_102999	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
75	frag_103000	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
76	frag_103005	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
77	frag_103007	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
78	frag_103008	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
79	frag_103009	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
80	frag_103010	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
81	frag_103011	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
82	frag_103012	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
83	frag_103014	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
84	frag_103015	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
85	frag_103016	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
86	frag_103017	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
87	frag_103018	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
88	frag_103019	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
89	frag_103021	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
90	frag_103022	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
91	frag_103023	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
92	frag_103024	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
93	frag_103025	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
94	frag_103026	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
95	frag_103027	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
96	frag_103028	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
97	frag_103029	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
98	frag_103030	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
99	frag_103031	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
100	frag_103032	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
101	frag_103034	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
102	frag_103036	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
103	frag_103037	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
104	frag_103038	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
105	frag_103039	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257328
106	frag_103041	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
107	frag_103043	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
108	frag_103044	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
109	frag_103045	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
110	frag_103046	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
111	frag_103047	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
112	frag_103048	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
113	frag_103049	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
114	frag_103050	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257328
115	frag_103051	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
116	frag_103052	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
117	frag_103054	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
118	frag_103055	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
119	frag_103056	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
120	frag_103058	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
121	frag_103059	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
122	frag_103060	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
123	frag_103061	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
124	frag_103062	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
125	frag_103063	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
126	frag_103064	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
127	frag_103065	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
128	frag_103066	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
129	frag_103067	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
130	frag_103068	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
131	frag_103069	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
132	frag_103070	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
133	frag_103071	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
134	frag_103072	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
135	frag_103074	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
136	frag_103075	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
137	frag_103076	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
138	frag_103077	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
139	frag_103078	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
140	frag_103079	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
141	frag_103080	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
142	frag_103082	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
143	frag_103083	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
144	frag_103098	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
145	frag_103110	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
146	frag_103111	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
147	frag_103112	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
148	frag_103113	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
149	frag_103114	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
150	frag_103115	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
151	frag_103116	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
152	frag_103117	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
153	frag_103122	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257328
154	frag_103225	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
155	frag_103226	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
156	frag_103227	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
157	frag_103229	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524186e-05
158	frag_103233	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000524947728109748
159	frag_103234	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
160	frag_103236	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
161	frag_103238	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524184e-05
162	frag_103254	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
163	frag_103283	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000524947728109746
164	frag_103589	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524189e-05
165	frag_103609	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524177e-05
166	frag_103611	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000524947728109747
167	frag_103612	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524186e-05
168	frag_103700	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524183e-05
169	frag_103701	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524188e-05
170	frag_103702	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524179e-05
171	frag_103704	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524196e-05
172	frag_103705	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524175e-05
173	frag_103706	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524193e-05
174	frag_103707	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524186e-05
175	frag_103708	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524193e-05
176	frag_103709	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524187e-05
177	frag_103710	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524187e-05
178	frag_103711	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524188e-05
179	frag_103712	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524186e-05
180	frag_103713	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524194e-05
181	frag_103714	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524185e-05
182	frag_103715	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524178e-05
183	frag_103716	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524183e-05
184	frag_103719	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524187e-05
185	frag_103723	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.3179510852419e-05
186	frag_103726	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524193e-05
187	frag_103727	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524184e-05
188	frag_103729	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524187e-05
189	frag_103731	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524189e-05
190	frag_103732	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.3179510852419e-05
191	frag_103733	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524194e-05
192	frag_103737	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524187e-05
193	frag_103738	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524177e-05
194	frag_103750	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524184e-05
195	frag_103754	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.3179510852419e-05
196	frag_103757	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000501768217257329
197	frag_103805	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.3179510852419e-05
198	frag_103806	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524192e-05
199	frag_103807	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00050176821725733
200	frag_103816	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524183e-05
201	frag_103820	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.3179510852419e-05
202	frag_103821	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524189e-05
203	frag_103822	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524189e-05
204	frag_103827	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524192e-05
205	frag_103829	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524193e-05
206	frag_103830	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000524947728109747
207	frag_103832	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524188e-05
208	frag_103833	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524185e-05
209	frag_103834	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524186e-05
210	frag_103835	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524186e-05
211	frag_103837	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524187e-05
212	frag_103838	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524183e-05
213	frag_103861	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524193e-05
214	frag_103864	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.3179510852419e-05
215	frag_103866	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000524947728109747
216	frag_103867	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524193e-05
217	frag_103871	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524196e-05
218	frag_103875	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.3179510852419e-05
219	frag_103876	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524198e-05
220	frag_103877	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524178e-05
221	frag_103880	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000524947728109746
222	frag_103881	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524188e-05
223	frag_103887	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524181e-05
224	frag_103888	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524192e-05
225	frag_103890	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524185e-05
226	frag_103891	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524186e-05
227	frag_103897	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524185e-05
228	frag_103898	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524181e-05
229	frag_103903	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524192e-05
230	frag_103904	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.3179510852419e-05
231	frag_103905	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.3179510852418e-05
232	frag_103906	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524189e-05
233	frag_103907	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524191e-05
234	frag_103908	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524185e-05
235	frag_103909	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524198e-05
236	frag_103911	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524191e-05
237	frag_104126	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524192e-05
238	frag_104278	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	2.31795108524188e-05
239	frag_104458	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
240	frag_104459	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
241	frag_104465	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
242	frag_104467	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
243	frag_104468	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
244	frag_104469	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
245	frag_104470	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
246	frag_104473	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
247	frag_104474	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
248	frag_104475	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
249	frag_104478	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
250	frag_104479	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
251	frag_104481	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
252	frag_104488	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
253	frag_104489	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
254	frag_104626	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0
