source	target
PIGR	51929
FAIM3	DYRK3
FAIM3	RP11-343H5.6
PIGR	DYRK3
PIGR	RP11-343H5.6
FAIM3	51932
PIGR	51932
FAIM3	51933
PIGR	51933
FAIM3	51934
PIGR	51934
FAIM3	51935
PIGR	51935
FAIM3	51936
PIGR	51936
FAIM3	51937
PIGR	51937
FAIM3	51938
PIGR	51938
FAIM3	MAPKAPK2
FAIM3	SNORD112
PIGR	MAPKAPK2
PIGR	SNORD112
FAIM3	51941
PIGR	51941
FAIM3	51942
PIGR	51942
FAIM3	51943
PIGR	51943
FAIM3	51944
PIGR	51944
FAIM3	51945
PIGR	51945
FAIM3	51946
PIGR	51946
FAIM3	51947
PIGR	51947
FAIM3	51948
PIGR	51948
FAIM3	51949
PIGR	51949
FAIM3	51950
PIGR	51950
FAIM3	51951
PIGR	51951
FAIM3	51952
PIGR	51952
FAIM3	51954
PIGR	51954
FAIM3	51955
PIGR	51955
FAIM3	51956
PIGR	51956
FAIM3	51957
PIGR	51957
FAIM3	51958
PIGR	51958
FAIM3	51959
PIGR	51959
FAIM3	51960
PIGR	51960
FAIM3	51961
PIGR	51961
FAIM3	51962
PIGR	51962
FAIM3	51963
PIGR	51963
FAIM3	51964
PIGR	51964
FAIM3	51965
PIGR	51965
FAIM3	51966
PIGR	51966
FAIM3	51967
PIGR	51967
FAIM3	IL10
PIGR	IL10
FAIM3	51969
PIGR	51969
FAIM3	51970
PIGR	51970
FAIM3	51972
PIGR	51972
FAIM3	51973
PIGR	51973
FAIM3	51974
PIGR	51974
FAIM3	IL19
PIGR	IL19
FAIM3	51976
PIGR	51976
FAIM3	51977
PIGR	51977
FAIM3	51978
PIGR	51978
FAIM3	51979
PIGR	51979
FAIM3	51980
PIGR	51980
FAIM3	51981
PIGR	51981
FAIM3	51982
PIGR	51982
FAIM3	51984
PIGR	51984
FAIM3	51985
PIGR	51985
FAIM3	51994
PIGR	51994
FAIM3	51995
PIGR	51995
FAIM3	IL20
PIGR	IL20
FAIM3	51997
PIGR	51997
FAIM3	52000
PIGR	52000
FAIM3	52010
PIGR	52010
FAIM3	52011
PIGR	52011
FAIM3	52012
PIGR	52012
FAIM3	52024
PIGR	52024
FAIM3	52025
PIGR	52025
FAIM3	52064
PIGR	52064
FAIM3	CD55
PIGR	CD55
FAIM3	52168
PIGR	52168
FAIM3	52175
PIGR	52175
FAIM3	52176
PIGR	52176
FAIM3	52181
PIGR	52181
FAIM3	52183
PIGR	52183
FAIM3	52184
PIGR	52184
FAIM3	52186
PIGR	52186
FAIM3	52187
PIGR	52187
FAIM3	52188
PIGR	52188
FAIM3	52189
PIGR	52189
YOD1	51905
CR2	FAIM3
CR2	PIGR
CR1	FAIM3
CR1	PIGR
CD46P1	CR1L
CD46P1	FAIM3
CD46P1	PIGR
CR1L	FAIM3
CR1L	PIGR
C1orf132	51905
DIEXF	DTL
DIEXF	INTS7
DTL	INTS7
RCOR3	DTL
RCOR3	INTS7
AL356310.1	DTL
AL356310.1	INTS7
NEK2	RP11-122M14.1
NEK2	DTL
NEK2	INTS7
RP11-122M14.1	DTL
RP11-122M14.1	INTS7
DTL	53425
INTS7	53425
DTL	53426
INTS7	53426
DTL	53427
INTS7	53427
DTL	53428
INTS7	53428
DTL	NEK2
DTL	RP11-122M14.1
INTS7	NEK2
INTS7	RP11-122M14.1
DTL	53430
INTS7	53430
DTL	53431
INTS7	53431
DTL	53432
INTS7	53432
DTL	53433
INTS7	53433
DTL	53436
INTS7	53436
DTL	53437
INTS7	53437
DTL	53449
INTS7	53449
DTL	53455
INTS7	53455
DTL	53582
INTS7	53582
DTL	53584
INTS7	53584
DTL	53585
INTS7	53585
DTL	53586
INTS7	53586
DTL	53587
INTS7	53587
DTL	53588
INTS7	53588
DTL	53589
INTS7	53589
DTL	53591
INTS7	53591
DTL	53592
INTS7	53592
DTL	53593
INTS7	53593
DTL	53594
INTS7	53594
DTL	53595
INTS7	53595
DTL	53596
INTS7	53596
DTL	53597
INTS7	53597
DTL	53598
INTS7	53598
DTL	53599
INTS7	53599
DTL	53600
INTS7	53600
DTL	53602
INTS7	53602
DTL	RP11-384C4.2
DTL	SNORA16B
INTS7	RP11-384C4.2
INTS7	SNORA16B
RP11-384C4.2	SNORA16B
DTL	53605
INTS7	53605
DTL	53606
INTS7	53606
DTL	53607
INTS7	53607
DTL	53608
INTS7	53608
DTL	53609
INTS7	53609
