name	logFC	P.Value
390468	0.146969035285457	2.64780463492953e-05
393500	-0.206954254661794	2.44908237022938e-05
401381	0.161427745058278	2.82450038636174e-06
402513	-0.265192908063353	1.76296015238822e-05
403753	0.0541190288455543	8.02621468394443e-06
409448	0.285131533443791	6.18114407936314e-06
412734	-0.246467688782053	8.70239570446575e-06
414222	-0.148166162521671	1.57383350415959e-05
428318	-0.312099126981109	8.03189236466872e-07
441120	0.239989207632466	2.80207176944291e-05
468132	0.244468019806812	8.84030699063219e-06
473339	0.271361951945351	1.80427964342934e-06
479275	-0.249758670313888	2.0276645173829e-05
482093	-0.312388436929911	6.78279879359932e-09
483816	0.244216660964687	8.5762340232386e-06
492461	0.185020721621188	2.37908549356228e-05
495860	0.256505146284312	2.59604867876133e-05
510566	-0.331077069052573	1.87684590285897e-06
511369	0.223626853213721	1.19229913858419e-06
512346	-0.370834529911768	1.17421020667128e-07
516857	0.229964448643653	1.09162004310638e-05
51905	0.0382520603294026	1.20406141599853e-05
5333	-0.316616050223814	2.02541072240815e-05
543424	-0.211308621205998	8.61389963894828e-06
544435	-0.216750223774103	6.81067424253809e-06
555504	-0.268461550939314	6.92474217528714e-06
567475	0.239540191011952	2.85293111032259e-05
570290	-0.366272870819881	2.89224005003101e-06
574939	-0.284781827844514	6.46007214805368e-06
576025	-0.270596392124716	3.14812922297844e-05
578595	0.3015472607287	1.34693398584012e-05
58883	-0.360868296693367	9.74048024707849e-11
601329	0.274824335001038	1.80048191059388e-05
603670	-0.233557028990865	1.27113261996987e-05
604039	-0.315071362998639	1.21838451491433e-05
60524	-0.261477161976021	2.94962304531063e-06
607734	-0.306938742384575	5.60247600171219e-08
609788	-0.32128338016794	2.58980921250948e-05
610694	-0.272832460062808	3.9815581964219e-06
613972	-0.332891358736631	1.18551265528891e-06
614421	0.276441646776276	6.15868577513749e-06
614831	-0.0214847965429811	2.98194589013504e-05
614846	-0.176620410610433	2.01600572070686e-05
617782	0.294787731453243	3.42443609600943e-06
617928	-0.288412604787633	3.21709451994621e-06
618968	-0.0276097429514761	5.07218876106931e-07
621000	0.263127997399993	2.31386153954761e-05
621013	-0.0343618778905671	1.46863152776316e-05
622244	0.140807097297976	1.36873781205205e-05
622392	-0.268069322191141	2.2329484427981e-05
641897	0.165028026236439	1.4717436432077e-05
641958	-0.263809674805426	9.28267514500975e-06
642656	0.232221746583392	2.70740449008763e-05
642923	-0.308775559141132	3.16367763963873e-07
644160	-0.283935031228725	1.39153451105671e-05
64604	-0.275355754725054	3.6030989373955e-06
657031	-0.308448566050889	3.07697190543573e-07
658437	-0.275316413010706	2.10141377315939e-05
65865	-0.272345338822698	9.21929315254311e-06
66132	-0.200120945889338	3.20230659068636e-05
662183	-0.0429321609508051	1.48348670726968e-05
667553	-0.304633079678504	2.14954686736805e-05
669628	0.215821363161184	5.00900723727552e-06
672598	-0.210530443436706	8.45531359610995e-07
673020	0.260201580196356	3.42528756225082e-05
673499	-0.0870914165091554	3.25357061217434e-05
684138	-0.308770285812693	2.474408923811e-05
689713	0.23656583573894	3.4000132260732e-05
6990	-0.0368189172611617	2.08481274268645e-05
704830	-0.246875828315841	5.75171400953406e-06
705121	-0.358370191737243	3.64918722433088e-06
707191	-0.391412572804265	2.62146888750915e-06
707754	-0.218944580408907	1.72530620440077e-05
70907	0.245630629712642	1.77921257938643e-05
712992	0.311969990983879	1.92284594168108e-05
713675	0.245056548005373	3.36639021735306e-06
718311	-0.203516870489505	3.33234229604942e-05
719578	0.333109353008413	6.29445467554419e-06
730819	-0.285215795768854	2.12820338202296e-06
738027	-0.260993490476899	2.89896497833625e-05
744962	-0.358534349116322	4.15405687367516e-07
76085	0.221860568353349	4.90948568360603e-06
761383	-0.0576006331855392	1.06395273748297e-06
761776	-0.298038397732587	4.44567032848353e-06
768735	-0.14632547532975	3.18723753250233e-05
782079	0.280430491231405	3.32075738644707e-05
782907	-0.304721364043116	5.64958298612653e-07
85288	-0.312864881290565	2.80903411179736e-06
86755	0.203671752502428	9.21838732659584e-06
90736	0.118346528860463	2.88991556683824e-05
95981	0.271364085185591	1.28254027015628e-05
9870	-0.298100564321332	1.73374708674407e-06
ABHD4	-0.0155509544944535	2.73870916541551e-05
AC005624.2	0.240307014508155	6.43787683707491e-06
AC009336.1	0.219379228312129	4.17355955992966e-08
AC012507.4	-0.236931633121729	3.21235571234785e-06
AC068831.6	0.279817997633943	2.80453592325609e-05
AC073957.15	0.29109708272295	1.88182139714404e-05
AC078883.3	-0.0220408150328601	6.26591951754794e-06
AC106782.20	0.265368916596213	8.94219377471588e-06
AC106801.1	0.231898158298349	1.88177913975313e-05
AC139149.1	0.0198567551124742	2.81960999341725e-05
AC144521.1	-0.0544714477929186	3.71903865185696e-06
ACAA1	0.0200017278027195	2.5729574539486e-06
ACLY	0.288718862415734	2.48044348981552e-06
ACTG1	0.0198567551124742	2.81960999341725e-05
ADIRF-AS1	0.209448695086878	2.68378269726718e-05
ADNP	-0.0443856273504203	2.0879258865936e-05
ADORA2A-AS1	0.266809502734777	2.91710625912719e-05
AKT2	0.207939950370118	1.77765914236275e-06
AL034553.1	-0.0443856273504203	2.0879258865936e-05
AL136531.1	0.24993504630299	1.67590283206908e-05
ALDH6A1	0.0282356121054307	2.94623974161348e-05
AMT	0.233293810296891	2.21152050069618e-05
ANKDD1A	0.228236024187471	4.54294463799546e-06
ANXA11	0.258109446250799	3.10845256581527e-05
AP2S1	-0.0335457744180356	1.38371605146116e-05
AQP10	0.0296310737791326	1.3451924156803e-05
ARHGAP22	-0.183054942900703	1.11355806845941e-05
ARVCF	0.0385455560160299	1.0809652255658e-05
ASIC3	-0.039331382343399	3.14019493339679e-05
ATL2	-0.0724244692648347	1.9916216975293e-05
ATP8A1	-0.0770203507307613	1.69156748319918e-05
ATP8B2	0.0296310737791326	1.3451924156803e-05
BBIP1	-0.0285473796103131	2.48146521230895e-05
BCAP29	0.0647345601007236	5.84075616014549e-06
BCL7C	0.265368916596213	8.94219377471588e-06
BTBD19	0.225008034306723	8.74889203863148e-06
BX322557.10	0.264517501069326	7.58462230884363e-06
C12orf80	-0.239142234865312	1.71293590337191e-05
C3orf58	-0.0312980994290092	2.26225262127593e-05
C7orf50	0.29109708272295	1.88182139714404e-05
C9orf41	-0.0520414510623579	3.17995172566007e-05
CACNA2D1	0.25048454546953	2.82144639645079e-05
CCDC137	0.23404543486579	1.90412394072479e-05
CCDC140	0.166910521380047	3.27608778688289e-05
CDC27	-0.14386056066035	1.00830794311657e-05
CDK5	-0.039331382343399	3.14019493339679e-05
CDKN2A	0.191081472218954	1.24746740484469e-05
CDKN2B	0.191081472218954	1.24746740484469e-05
