"","A","B"
"612","MAR08575","AMY2B"
"710","MAR08575","AMY2A"
"256","MAR08576","LYZL1"
"337","MAR08576","AMY1B"
"431","MAR08576","AMY1C"
"524","MAR08576","AMY1A"
"613","MAR08576","AMY2B"
"711","MAR08576","AMY2A"
"257","MAR08577","LYZL1"
"338","MAR08577","AMY1B"
"432","MAR08577","AMY1C"
"525","MAR08577","AMY1A"
"614","MAR08577","AMY2B"
"712","MAR08577","AMY2A"
"258","MAR08578","LYZL1"
"339","MAR08578","AMY1B"
"433","MAR08578","AMY1C"
"526","MAR08578","AMY1A"
"615","MAR08578","AMY2B"
"713","MAR08578","AMY2A"
"259","MAR08579","LYZL1"
"340","MAR08579","AMY1B"
"434","MAR08579","AMY1C"
"527","MAR08579","AMY1A"
"616","MAR08579","AMY2B"
"714","MAR08579","AMY2A"
"260","MAR08581","LYZL1"
"341","MAR08581","AMY1B"
"435","MAR08581","AMY1C"
"528","MAR08581","AMY1A"
"617","MAR08581","AMY2B"
"715","MAR08581","AMY2A"
"261","MAR08591","GANC"
"342","MAR08591","MGAM"
"262","MAR08592","GAA"
"263","MAR08580","LYZL1"
"343","MAR08580","AMY1B"
"436","MAR08580","AMY1C"
"529","MAR08580","AMY1A"
"618","MAR08580","AMY2B"
"716","MAR08580","AMY2A"
"264","MAR08582","LYZL1"
"344","MAR08582","AMY1B"
"437","MAR08582","AMY1C"
"530","MAR08582","AMY1A"
"619","MAR08582","AMY2B"
"717","MAR08582","AMY2A"
"265","MAR08587","GANC"
"345","MAR08587","MGAM"
"266","MAR08589","GAA"
"267","MAR08583","MGAM"
"268","MAR08584","SI"
"269","MAR08585","PGM2L1"
"270","MAR03944","UGP2"
"271","MAR04128","GALE"
"272","MAR04130","GALK1"
"346","MAR04130","GALK2"
"273","MAR04131","GALT"
"274","MAR04132","GALT"
"275","MAR04303","SI"
"347","MAR04303","GAA"
"438","MAR04303","GANC"
"531","MAR04303","MGAM"
"276","MAR04414","GALK1"
"348","MAR04414","GALK2"
"439","MAR04414","FAM227B"
"278","MAR04416","GLA"
"349","MAR04416","GLB1"
"440","MAR04416","RPL36A"
"279","MAR04774","PFKP"
"350","MAR04774","PFKL"
"441","MAR04774","PFKM"
"280","MAR04775","PFKP"
"351","MAR04775","PFKL"
"442","MAR04775","PFKM"
"283","MAR07674","B4GALT1"
"352","MAR07674","B4GALT2"
"443","MAR07674","LALBA"
"284","MAR08761","KHK"
"285","MAR08762","ALDOC"
"353","MAR08762","ALDOB"
"444","MAR08762","ALDOA"
"286","MAR08764","LCT"
"287","MAR08766","AKR1B1"
"354","MAR08766","AKR1B10"
"288","MAR08767","GALT"
"290","MAR04297","PFKFB4"
"355","MAR04297","PFKFB2"
"445","MAR04297","PFKFB1"
"533","MAR04297","PFKFB3"
"291","MAR04310","KHK"
"292","MAR04315","SORD"
"293","MAR04316","AKR1B1"
"356","MAR04316","AKR1B10"
"294","MAR04317","FAM20B"
"357","MAR04317","FN3KRP"
"446","MAR04317","NOL9"
"534","MAR04317","FN3K"
"620","MAR04317","FGGY"
"295","MAR04318","FAM20B"
"358","MAR04318","FN3KRP"
"447","MAR04318","NOL9"
"535","MAR04318","FN3K"
"621","MAR04318","FGGY"
"296","MAR04319","HKDC1"
"359","MAR04319","HK1"
"448","MAR04319","HK2"
"536","MAR04319","HK3"
"297","MAR04320","FAM20B"
"360","MAR04320","FN3KRP"
"449","MAR04320","NOL9"
"537","MAR04320","FN3K"
"622","MAR04320","FGGY"
"298","MAR04356","ALDOC"
"361","MAR04356","ALDOB"
"450","MAR04356","ALDOA"
"299","MAR04383","MPI"
"2100","MAR04385","POLR3H"
"362","MAR04385","PMM1"
"451","MAR04385","PMM2"
"2101","MAR04386","GMPPA"
"363","MAR04386","RNF123"
"452","MAR04386","GMPPB"
"539","MAR04386","AMIGO3"
"2102","MAR04387","GMPPA"
"364","MAR04387","GMPPB"
"453","MAR04387","AMIGO3"
"2103","MAR04399","GMDS"
"2104","MAR04400","GFUS"
"2105","MAR04401","TNNI3K"
"365","MAR04401","FPGT"
"454","MAR04401","FPGT-TNNI3K"
"2106","MAR04402","FCSK"
"2108","MAR04490","HKDC1"
"366","MAR04490","HK1"
"455","MAR04490","HK2"
"540","MAR04490","HK3"
"2109","MAR04706","TIGAR"
"367","MAR04706","DLX4"
"456","MAR04706","PFKFB4"
"541","MAR04706","PFKFB2"
"623","MAR04706","PFKFB1"
"718","MAR04706","PFKFB3"
"2110","MAR08768","GFUS"
"2111","MAR04590","DCXR"
"2112","MAR04591","PECR"
"368","MAR04591","MECR"
"2113","MAR04592","AKR1B1"
"369","MAR04592","AKR1B10"
"2114","MAR04593","SORD"
"2115","MAR04594","DHDH"
"2116","MAR04595","XYLB"
"2117","MAR08341","AKR7A2"
"370","MAR08341","AKR1B1"
"457","MAR08341","AKR1A1"
"2119","MAR08344","AKR1A1"
"2120","MAR08352","CRYL1"
"2122","MAR08726","RBKS"
"2123","MAR08727","ALG5"
"2125","MAR08729","UXS1"
"2126","MAR06537","AKR1A1"
"2127","MAR01568","ALDH3B1"
"371","MAR01568","ALDH3A1"
"458","MAR01568","ALDH3B2"
"542","MAR01568","ALDH1A3"
"2128","MAR03853","GLO1"
"372","MAR03853","GLOD4"
"2129","MAR03854","AKR1B1"
"373","MAR03854","AKR1B10"
"2130","MAR03855","AKR1B1"
"374","MAR03855","AKR1B10"
"2131","MAR03857","HAGH"
"375","MAR03857","HAGHL"
"2132","MAR03859","LDHD"
"376","MAR03859","CYB5D1"
"2133","MAR04087","ME2"
"377","MAR04087","ME3"
"2134","MAR04089","RWDD2A"
"378","MAR04089","ME1"
"2135","MAR04091","ME2"
"379","MAR04091","ME3"
"2136","MAR04093","ACOT12"
"2137","MAR04095","ACOT12"
"2138","MAR04101","PCK1"
"2139","MAR04103","PCK2"
"2140","MAR04143","PC"
"2141","MAR04193","PKM"
"380","MAR04193","PKLR"
"2142","MAR08497","AKR7A2"
"381","MAR08497","AKR1B1"
"459","MAR08497","AKR1A1"
"2143","MAR08498","CYP2E1"
"2144","MAR08499","CYP2E1"
"2145","MAR08500","AKR7A2"
"382","MAR08500","AKR1B1"
"460","MAR08500","AKR1A1"
"2146","MAR08501","GRHPR"
"2147","MAR08502","ADHFE1"
"383","MAR08502","ADH6"
"461","MAR08502","ADH1A"
"543","MAR08502","ADH7"
"624","MAR08502","ADH1B"
"719","MAR08502","ADH5"
"81","MAR08502","ADH4"
"91","MAR08502","ADH1C"
"2148","MAR08503","ALDH3B1"
"384","MAR08503","ALDH3A2"
"462","MAR08503","ALDH3A1"
"544","MAR08503","ALDH3B2"
"625","MAR08503","ALDH9A1"
"720","MAR08503","ALDH7A1"
"82","MAR08503","ALDH1A3"
"2149","MAR08504","ALDH3A2"
"385","MAR08504","ALDH2"
"463","MAR08504","ALDH1B1"
"545","MAR08504","ALDH9A1"
"626","MAR08504","ALDH7A1"
"2150","MAR08506","ALDH3A2"
"386","MAR08506","ALDH2"
"464","MAR08506","ALDH1B1"
"546","MAR08506","ALDH9A1"
"627","MAR08506","ALDH7A1"
"2151","MAR08507","ADHFE1"
"387","MAR08507","ADH6"
"465","MAR08507","ZADH2"
"547","MAR08507","ADH1A"
"628","MAR08507","ADH7"
"721","MAR08507","ADH1B"
"83","MAR08507","ADH5"
"92","MAR08507","ADH4"
"101","MAR08507","ADH1C"
"2152","MAR08508","ADHFE1"
"388","MAR08508","ADH6"
"466","MAR08508","ZADH2"
"548","MAR08508","ADH1A"
"629","MAR08508","ADH7"
"722","MAR08508","ADH1B"
"84","MAR08508","ADH5"
"93","MAR08508","ADH4"
"102","MAR08508","ADH1C"
"2153","MAR08509","AKR7A2"
"389","MAR08509","AKR1B1"
"467","MAR08509","AKR1A1"
"2154","MAR08511","HAGH"
"390","MAR08511","HAGHL"
"2155","MAR08512","LDHD"
"2156","MAR08514","LDHD"
"391","MAR08514","CYB5D1"
"2157","MAR08516","AUH"
"2159","MAR04280","LDHB"
"392","MAR04280","LDHA"
"468","MAR04280","UEVLD"
"549","MAR04280","LDHC"
"630","MAR04280","LDHAL6A"
"723","MAR04280","LDHAL6B"
"2160","MAR00153","ACSS3"
"393","MAR00153","ACSS2"
"469","MAR00153","ACSS1"
"2161","MAR03212","ACAD10"
"394","MAR03212","ACADM"
"470","MAR03212","ACADS"
"550","MAR03212","ACAD8"
"631","MAR03212","ACAD9"
"724","MAR03212","ACADSB"
"85","MAR03212","ACAD11"
"2162","MAR03797","ACSS3"
"395","MAR03797","ACSS2"
"471","MAR03797","ACSS1"
"2164","MAR04105","MLYCD"
"2165","MAR04106","MLYCD"
"2166","MAR04107","MLYCD"
"2167","MAR04282","ALDH6A1"
"2168","MAR04331","ACSS3"
"396","MAR04331","ACSS2"
"472","MAR04331","ACSS1"
"2169","MAR04459","ACSS3"
"397","MAR04459","ACSS2"
"473","MAR04459","ACSS1"
"2170","MAR04460","ACSS3"
"398","MAR04460","ACSS2"
"474","MAR04460","ACSS1"
"2172","MAR04497","DHCR24"
"2173","MAR04741","HIBCH"
"2176","MAR09804","HSD17B14"
"399","MAR09804","HSD3B7"
"475","MAR09804","DHRS2"
"551","MAR09804","HTATIP2"
"632","MAR09804","RDH10"
"725","MAR09804","MDH1B"
"86","MAR09804","RDH12"
"94","MAR09804","CBR4"
"103","MAR09804","CTBP1"
"11","MAR09804","RDH13"
"12","MAR09804","BDH2"
"13","MAR09804","HSD11B1L"
"14","MAR09804","SDR9C7"
"15","MAR09804","SDR16C5"
"16","MAR09804","HSD11B2"
"17","MAR09804","SDR42E2"
"18","MAR09804","SDR42E1"
"19","MAR09804","WWOX"
"20","MAR09804","AKR1C1"
"2177","MAR09804","ADH5"
"2210","MAR09804","AKR1B10"
"2310","MAR09804","HSD17B11"
"2410","MAR09804","AKR1C4"
"2510","MAR09804","HSD17B8"
"2610","MAR09804","AKR1B15"
"2710","MAR09804","RDH14"
"2178","MAR00718","L2HGDH"
"2179","MAR00719","PHGDH"
"2180","MAR01434","ACAT2"
"2181","MAR01436","AACS"
"2182","MAR03163","ACAD10"
"3100","MAR03163","ACADM"
"476","MAR03163","ACADS"
"552","MAR03163","ACAD8"
"633","MAR03163","ACAD9"
"726","MAR03163","ACADSB"
"87","MAR03163","ACAD11"
"2183","MAR04461","BDH1"
"3101","MAR04461","BDH2"
"2184","MAR04604","HMGCS1"
"2185","MAR05351","LDHB"
"3102","MAR05351","UEVLD"
"477","MAR05351","LDHC"
"553","MAR05351","LDHAL6A"
"634","MAR05351","LDHAL6B"
"2186","MAR07709","ECHDC2"
"2187","MAR04052","PRPS2"
"3103","MAR04052","PRPS1"
"478","MAR04052","PRPS1L1"
"2188","MAR04304","G6PD"
"2189","MAR04306","G6PD"
"2190","MAR04350","BABAM2"
"3104","MAR04350","RBKS"
"2191","MAR04351","RPIA"
"2192","MAR04352","RPIA"
"2193","MAR04354","PGM1"
"3105","MAR04354","PGM2"
"2194","MAR04398","DERA"
"2195","MAR04404","TKTL1"
"3106","MAR04404","TKTL2"
"479","MAR04404","TKT"
"2196","MAR04473","PGD"
"2197","MAR04474","PGD"
"2198","MAR04476","SAT1"
"3107","MAR04476","SAT2"
"2199","MAR04477","RPE"
"3108","MAR04477","RPEL1"
"2200","MAR04501","TKTL1"
"3109","MAR04501","TKTL2"
"480","MAR04501","TKT"
"2201","MAR04565","TALDO1"
"2202","MAR04567","PFKP"
"3110","MAR04567","PFKL"
"481","MAR04567","PFKM"
"2203","MAR04568","PFKP"
"3111","MAR04568","PFKL"
"482","MAR04568","PFKM"
"2204","MAR09799","SHPK"
"2205","MAR09800","KHK"
"2206","MAR04623","H6PD"
"3112","MAR04623","PGLS"
"2207","MAR04625","H6PD"
"3113","MAR04625","PGLS"
"2208","MAR04710","PGM2"
"3114","MAR04710","ST20"
"2209","MAR04841","ALDH3B1"
"3115","MAR04841","ALDH3A1"
"483","MAR04841","ALDH3B2"
"554","MAR04841","ALDH1A3"
"2211","MAR08074","BABAM2"
"3116","MAR08074","RBKS"
"2212","MAR08653","H6PD"
"3117","MAR08653","PGLS"
"2213","MAR03998","ENTPD2"
"3118","MAR03998","ENTPD1"
"484","MAR03998","ENTPD3"
"555","MAR03998","CANT1"
"635","MAR03998","ENTPD5"
"727","MAR03998","ENTPD8"
"88","MAR03998","ENTPD4"
"95","MAR03998","ENTPD6"
"3119","MAR04000","GUCY2C"
"485","MAR04000","ADCY2"
"556","MAR04000","GUCY2F"
"636","MAR04000","ADCY7"
"728","MAR04000","ADCY4"
"89","MAR04000","GUCY2D"
"96","MAR04000","ADCY3"
"104","MAR04000","ADCY10"
"111","MAR04000","GUCY1A2"
"121","MAR04000","ADCY8"
"131","MAR04000","NPR2"
"141","MAR04000","ADCY9"
"151","MAR04000","ADCY1"
"161","MAR04000","NPR1"
"171","MAR04000","ADCY5"
"181","MAR04000","ADCY6"
"2215","MAR04002","AK2"
"3120","MAR04002","AK6"
"486","MAR04002","AK1"
"557","MAR04002","AK7"
"637","MAR04002","AK3"
"729","MAR04002","AK5"
"810","MAR04002","AK9"
"97","MAR04002","AK4"
"105","MAR04002","AK8"
"112","MAR04002","TAF9"
"2216","MAR04004","AK2"
"3121","MAR04004","AK6"
"487","MAR04004","AK1"
"558","MAR04004","AK7"
"638","MAR04004","AK3"
"730","MAR04004","AK5"
"811","MAR04004","AK9"
"98","MAR04004","AK4"
"106","MAR04004","AK8"
"113","MAR04004","TAF9"
"2217","MAR04010","ACP3"
"3122","MAR04010","NT5C2"
"488","MAR04010","NT5C1A"
"559","MAR04010","NT5C3A"
"639","MAR04010","NT5C"
"731","MAR04010","NT5E"
"812","MAR04010","NT5C3B"
"99","MAR04010","RBAK"
"107","MAR04010","NT5C1B"
"114","MAR04010","NT5M"
"122","MAR04010","NT5C1B-RDH14"
"2218","MAR04081","ACP3"
"3123","MAR04081","NT5C2"
"489","MAR04081","NT5C1A"
"560","MAR04081","NT5C3A"
"640","MAR04081","NT5C"
"732","MAR04081","NT5E"
"813","MAR04081","NT5C3B"
"910","MAR04081","RBAK"
"108","MAR04081","NT5C1B"
"115","MAR04081","NT5M"
"123","MAR04081","NT5C1B-RDH14"
"2219","MAR04082","ACP3"
"3124","MAR04082","NT5C2"
"490","MAR04082","NT5C1A"
"561","MAR04082","NT5C3A"
"641","MAR04082","NT5C"
"733","MAR04082","NT5E"
"814","MAR04082","NT5C3B"
"911","MAR04082","RBAK"
"109","MAR04082","NT5C1B"
"116","MAR04082","NT5M"
"124","MAR04082","NT5C1B-RDH14"
"2220","MAR04012","ADK"
"3125","MAR04012","DCK"
"2221","MAR04014","PDE4A"
"3126","MAR04014","PDE8A"
"491","MAR04014","PDE6C"
"562","MAR04014","PDE4C"
"642","MAR04014","PDE10A"
"734","MAR04014","PDE8B"
"815","MAR04014","PDE4D"
"912","MAR04014","PDE1A"
"1010","MAR04014","PDE1B"
"117","MAR04014","PDE11A"
"125","MAR04014","PDE6A"
"132","MAR04014","PDE6B"
"142","MAR04014","IL18BP"
"152","MAR04014","PDE5A"
"162","MAR04014","PDE6H"
"172","MAR04014","PDE3B"
"182","MAR04014","PDE1C"
"191","MAR04014","PDE6D"
"201","MAR04014","PDE9A"
"21100","MAR04014","PDE7B"
"2222","MAR04014","PDE3A"
"2311","MAR04014","PDE4B"
"2411","MAR04014","PDE6G"
"2511","MAR04014","PDE2A"
"2611","MAR04014","PDE7A"
"2223","MAR04020","GUK1"
"3127","MAR04022","GUCY2C"
"492","MAR04022","ADCY2"
"563","MAR04022","GUCY2F"
"643","MAR04022","ADCY7"
"735","MAR04022","ADCY4"
"816","MAR04022","GUCY2D"
"913","MAR04022","ADCY3"
"1011","MAR04022","ADCY10"
"118","MAR04022","GUCY1A2"
"126","MAR04022","ADCY8"
"133","MAR04022","NPR2"
"143","MAR04022","ADCY9"
"153","MAR04022","ADCY1"
"163","MAR04022","NPR1"
"173","MAR04022","ADCY5"
"183","MAR04022","ADCY6"
"2225","MAR04038","ATIC"
"2226","MAR04040","IMPDH1"
"3128","MAR04040","IMPDH2"
"2227","MAR04042","ADSS2"
"3129","MAR04042","ADSS1"
"2228","MAR04046","GMPS"
"2229","MAR04048","PDE4A"
"3130","MAR04048","PDE8A"
"493","MAR04048","PDE6C"
"564","MAR04048","PDE4C"
"644","MAR04048","PDE10A"
"736","MAR04048","PDE8B"
"817","MAR04048","PDE4D"
"914","MAR04048","PDE1A"
"1012","MAR04048","PDE1B"
"119","MAR04048","PDE11A"
"127","MAR04048","PDE6A"
"134","MAR04048","PDE6B"
"144","MAR04048","IL18BP"
"154","MAR04048","PDE5A"
"164","MAR04048","PDE6H"
"174","MAR04048","PDE3B"
"184","MAR04048","PDE1C"
"192","MAR04048","PDE6D"
"202","MAR04048","PDE9A"
"21101","MAR04048","PDE7B"
"2230","MAR04048","PDE3A"
"2312","MAR04048","PDE4B"
"2412","MAR04048","PDE6G"
"2512","MAR04048","PDE2A"
"2612","MAR04048","PDE7A"
"2231","MAR04080","AMPD2"
"3131","MAR04080","AMPD1"
"494","MAR04080","AMPD3"
"2232","MAR04085","APRT"
"2233","MAR04086","APRT"
"2234","MAR04134","ENTPD2"
"3132","MAR04134","ENTPD1"
"495","MAR04134","ENTPD3"
"565","MAR04134","CANT1"
"645","MAR04134","ENTPD5"
"737","MAR04134","ENTPD8"
"818","MAR04134","ENTPD4"
"915","MAR04134","ENTPD6"
"2235","MAR04135","GUK1"
"2236","MAR04168","ITPA"
"2237","MAR04171","PKM"
"3133","MAR04171","PKLR"
"2238","MAR04290","ENTPD1"
"3134","MAR04290","ENTPD3"
"496","MAR04290","ENTPD8"
"2239","MAR04406","PPAT"
"2240","MAR04412","TNRC6B"
"3135","MAR04412","ADSL"
"2241","MAR04417","ACP3"
"3136","MAR04417","NT5C2"
"497","MAR04417","NT5C1A"
"566","MAR04417","NT5C3A"
"646","MAR04417","NT5C"
"738","MAR04417","NT5E"
"819","MAR04417","NT5C3B"
"916","MAR04417","RBAK"
"1013","MAR04417","NT5C1B"
"1110","MAR04417","NT5M"
"128","MAR04417","NT5C1B-RDH14"
"2242","MAR04418","HPRT1"
"2243","MAR04419","GMPR2"
"3137","MAR04419","GMPR"
"2244","MAR04421","PKM"
"3138","MAR04421","PKLR"
"2245","MAR04449","ACP3"
"3139","MAR04449","NT5C2"
"498","MAR04449","NT5C1A"
"567","MAR04449","NT5C3A"
"647","MAR04449","NT5C"
"739","MAR04449","NT5E"
"820","MAR04449","NT5C3B"
"917","MAR04449","RBAK"
"1014","MAR04449","NT5C1B"
"1111","MAR04449","NT5M"
"129","MAR04449","NT5C1B-RDH14"
"2246","MAR04450","ACP3"
"3140","MAR04450","NT5C2"
"499","MAR04450","NT5C1A"
"568","MAR04450","NT5C3A"
"648","MAR04450","NT5C"
"740","MAR04450","NT5E"
"821","MAR04450","NT5C3B"
"918","MAR04450","RBAK"
"1015","MAR04450","NT5C1B"
"1112","MAR04450","NT5M"
"1210","MAR04450","NT5C1B-RDH14"
"2248","MAR04452","HPRT1"
"2249","MAR04453","GMPS"
"2250","MAR04480","AK2"
"3141","MAR04480","ACADVL"
"4100","MAR04480","AK6"
"569","MAR04480","ACOX3"
"649","MAR04480","AK1"
"741","MAR04480","ACADM"
"822","MAR04480","AK7"
"919","MAR04480","AK3"
"1016","MAR04480","ACAD8"
"1113","MAR04480","AK5"
"1211","MAR04480","AK9"
"135","MAR04480","AK4"
"145","MAR04480","AK8"
"155","MAR04480","ACAD9"
"2251","MAR04481","ADA2"
"3142","MAR04481","ADA"
"2252","MAR04482","ADA2"
"3143","MAR04482","ADA"
"2253","MAR04486","HKDC1"
"3144","MAR04486","HK1"
"4101","MAR04486","HK2"
"570","MAR04486","HK3"
"2254","MAR04487","HKDC1"
"3145","MAR04487","HK1"
"4102","MAR04487","HK2"
"571","MAR04487","HK3"
"2255","MAR04488","HKDC1"
"3146","MAR04488","HK1"
"4103","MAR04488","HK2"
"572","MAR04488","HK3"
"2256","MAR04489","HKDC1"
"3147","MAR04489","HK1"
"4104","MAR04489","HK2"
"573","MAR04489","HK3"
"2257","MAR04492","HKDC1"
"3148","MAR04492","HK1"
"4105","MAR04492","HK2"
"574","MAR04492","HK3"
"2258","MAR04493","HKDC1"
"3149","MAR04493","HK1"
"4106","MAR04493","HK2"
"575","MAR04493","HK3"
"2259","MAR04495","HKDC1"
"3150","MAR04495","HK1"
"4107","MAR04495","HK2"
"576","MAR04495","HK3"
"2260","MAR04496","HKDC1"
"3151","MAR04496","HK1"
"4108","MAR04496","HK2"
"577","MAR04496","HK3"
"2261","MAR04518","GDA"
"2262","MAR04519","XDH"
"2263","MAR04520","XDH"
"2264","MAR04573","PKM"
"3152","MAR04573","PKLR"
"2265","MAR04574","PNP"
"2266","MAR04600","DGUOK"
"2267","MAR04602","ACP3"
"3153","MAR04602","NT5C2"
"4109","MAR04602","NT5C1A"
"578","MAR04602","NT5C3A"
"650","MAR04602","NT5C"
"742","MAR04602","NT5E"
"823","MAR04602","NT5C3B"
"920","MAR04602","RBAK"
"1017","MAR04602","NT5C1B"
"1114","MAR04602","NT5M"
"1212","MAR04602","NT5C1B-RDH14"
"2268","MAR04603","TYMP"
"3154","MAR04603","PNP"
"2277","MAR04632","ACP3"
"3155","MAR04632","NT5C2"
"4110","MAR04632","NT5C1A"
"579","MAR04632","NT5C3A"
"651","MAR04632","NT5C"
"743","MAR04632","NT5E"
"824","MAR04632","NT5C3B"
"921","MAR04632","RBAK"
"1018","MAR04632","NT5C1B"
"1115","MAR04632","NT5M"
"1213","MAR04632","NT5C1B-RDH14"
"2278","MAR04646","XDH"
"2279","MAR04648","XDH"
"2280","MAR04649","XDH"
"2281","MAR04650","XDH"
"2282","MAR04651","PNP"
"2283","MAR04663","PNP"
"2284","MAR04664","HPRT1"
"2285","MAR04694","ADA2"
"3156","MAR04694","ADA"
"2286","MAR04695","TYMP"
"3157","MAR04695","PNP"
"2287","MAR04705","ACP3"
"3158","MAR04705","NT5C2"
"4111","MAR04705","NT5C1A"
"580","MAR04705","NT5C3A"
"652","MAR04705","NT5C"
"744","MAR04705","NT5E"
"825","MAR04705","NT5C3B"
"922","MAR04705","RBAK"
"1019","MAR04705","NT5C1B"
"1116","MAR04705","NT5M"
"1214","MAR04705","NT5C1B-RDH14"
"2288","MAR04709","TYMP"
"3159","MAR04709","PNP"
"2289","MAR04799","GART"
"2290","MAR04802","GART"
"2291","MAR04804","PAICS"
"2292","MAR04808","PFAS"
"2293","MAR04810","PAICS"
