TMEM42	PF4V1
TMEM42	BEND2
TMEM42	CMTM5
TMEM42	PKHD1
TMEM42	ITGB3BP
TMEM42	LY6G6F
TMEM42	CXCL5
TMEM42	SPOCK1
TMEM42	ARHGAP8
TMEM42	TRPM2
TMEM42	MYL9
TMEM42	TREML3
TMEM42	PROS1
TMEM42	TUBB4Q
TMEM42	PRSS42
SOX7	DARC
SOX7	SLC4A11
SOX7	ART5
SOX7	SEC16A
SOX7	HBM
SOX7	TRIM14
SOX7	AHSP
SOX7	ATP1B2
SOX7	HBA1
SOX7	ALAS2
SOX7	SLC25A23
SOX7	ACHE
SOX7	IFIT1
SOX7	KRT10
SOX7	SFRP4
SOX7	HBA2
SOX7	PAQR9
SOX7	PBX1
SOX7	RAB3IP
SOX7	CA10
SOX7	HEPACAM
SOX7	ARHGEF3
SOX7	NRXN3
SOX7	ANK1
SOX7	BEST3
SOX7	FAM83A
SOX7	AQP10
SOX7	SPTBN2
SOX7	XKR5
SOX7	EPB42
SOX7	TMEM5
SOX7	MYL4
SOX7	TRPS1
SOX7	RHBDD1
SOX7	CDH10
SOX7	SEC14L5
SOX7	KLHDC8B
SOX7	GYPB
SOX7	HBD
SOX7	LRRC20
SOX7	PLEKHA1
SOX7	HBB
SOX7	PLVAP
SOX7	TGM6
SOX7	C17orf99
SOX7	SLC7A10
SOX7	PHOSPHO1
SOX7	OSBPL7
SOX7	KEL
SOX7	AK7
SOX7	CR1
SOX7	FHIT
SOX7	EPB49
SOX7	FAM46C
SOX7	NFIA
SOX7	TMCO2
SOX7	ANKRD9
SOX7	RAP1GAP
SOX7	OSBPL10
SOX7	FLJ40330
SOX7	ARHGEF16
SOX7	TMC8
SOX7	PTPRH
SOX7	RHCG
SOX7	TMOD4
SOX7	GYPE
SOX7	SLC6A9
SOX7	ABCG2
SOX7	BPGM
SOX7	SLC14A2
SOX7	JAZF1
SOX7	C5orf41
SOX7	DNAJA4
SOX7	SLC25A39
SOX7	FECH
C9orf128	NLGN1
C9orf128	HNF4A
DARC	SLC4A11
DARC	ART5
DARC	SEC16A
DARC	HBM
DARC	TRIM14
DARC	AHSP
DARC	ATP1B2
DARC	HBA1
DARC	ALAS2
DARC	SLC6A20
DARC	SLC25A23
DARC	ACHE
DARC	IFIT1
DARC	SFRP4
DARC	HBA2
DARC	PAQR9
DARC	RAB3IP
DARC	CA10
DARC	HEPACAM
DARC	ARHGEF3
DARC	NRXN3
DARC	ANK1
DARC	FAM83A
DARC	SPTBN2
DARC	EPB42
DARC	TMEM5
DARC	MYL4
DARC	RHBDD1
DARC	CDH10
DARC	GYPB
DARC	HBD
DARC	LRRC20
DARC	HBB
DARC	TGM6
DARC	C17orf99
DARC	SLC7A10
DARC	KLF11
DARC	KEL
DARC	CR1
DARC	FHIT
DARC	EPB49
DARC	TMCO2
DARC	OR6K3
DARC	ANKRD9
DARC	OSBPL10
DARC	SLC2A4
DARC	PTPRH
DARC	RHCG
DARC	BCAM
DARC	TMOD4
DARC	SLC6A9
DARC	ABCG2
DARC	BPGM
DARC	CA2
DARC	SLC25A39
DARC	FECH
PF4V1	BEND2
PF4V1	CMTM5
PF4V1	PKHD1
PF4V1	ITGB3BP
PF4V1	LY6G6F
PF4V1	SPOCK1
PF4V1	GP9
PF4V1	NFIB
PF4V1	TRPM2
PF4V1	TREML3
