name,attr1,attr2,n
WBP2NL,lalala,lalala,GRN
TALDO1,lalala,lalala,GRN
KCNN4,lalala,lalala,GRN
ALAD,lalala,lalala,GRN
UNC5CL,lalala,lalala,GRN
GGTLC1,lalala,lalala,GRN
SCARNA3,lalala,lalala,GRN
TMUB1,lalala,lalala,GRN
GPN2,lalala,lalala,GRN
JDP2,lalala,lalala,GRN
PPBP,lalala,lalala,GRN
ZNF562,lalala,lalala,GRN
CCDC68,lalala,lalala,GRN
NPLOC4,lalala,lalala,GRN
SCAF1,lalala,lalala,GRN
ZFP37,lalala,lalala,GRN
NFE2L3,lalala,lalala,GRN
ANXA4,lalala,lalala,GRN
VPS28,lalala,lalala,GRN
SEH1L,lalala,lalala,GRN
PRR15L,lalala,lalala,GRN
EED,lalala,lalala,GRN
CCDC25,lalala,lalala,GRN
CBX7,lalala,lalala,GRN
PDE3B,lalala,lalala,GRN
GMIP,lalala,lalala,GRN
PIGX,lalala,lalala,GRN
DCTN3,lalala,lalala,GRN
SEPHS2,lalala,lalala,GRN
ZAR1,lalala,lalala,GRN
REV3L,lalala,lalala,GRN
CCR9,lalala,lalala,GRN
C6orf89,lalala,lalala,GRN
RBMX,lalala,lalala,GRN
VASN,lalala,lalala,GRN
TNS1,lalala,lalala,GRN
ULK3,lalala,lalala,GRN
NFATC3,lalala,lalala,GRN
GPR155,lalala,lalala,GRN
MMP8,lalala,lalala,GRN
PDHB,lalala,lalala,GRN
LILRB3,lalala,lalala,GRN
TACSTD2,lalala,lalala,GRN
NLRP12,lalala,lalala,GRN
ACSL1,lalala,lalala,GRN
CASP10,lalala,lalala,GRN
EEF1D,lalala,lalala,GRN
PPME1,lalala,lalala,GRN
PSMD7,lalala,lalala,GRN
STK11IP,lalala,lalala,GRN
CENPT,lalala,lalala,GRN
FYCO1,lalala,lalala,GRN
CLCN3,lalala,lalala,GRN
NDUFS5,lalala,lalala,GRN
PARP2,lalala,lalala,GRN
MED13L,lalala,lalala,GRN
ARL9,lalala,lalala,GRN
ACTR3B,lalala,lalala,GRN
RANBP6,lalala,lalala,GRN
PIP5K1P1,lalala,lalala,GRN
SCARNA16,lalala,lalala,GRN
GALC,lalala,lalala,GRN
PRH1,lalala,lalala,GRN
HCRTR1,lalala,lalala,GRN
SCARNA4,lalala,lalala,GRN
STRBP,lalala,lalala,GRN
HOXA7,lalala,lalala,GRN
HINFP,lalala,lalala,GRN
ZNRF2,lalala,lalala,GRN
ANXA2,lalala,lalala,GRN
EIF4ENIF1,lalala,lalala,GRN
RTN4RL2,lalala,lalala,GRN
FAIM,lalala,lalala,GRN
OCIAD2,lalala,lalala,GRN
ATP6V0C,lalala,lalala,GRN
PFKL,lalala,lalala,GRN
BET1L,lalala,lalala,GRN
SEZ6L2,lalala,lalala,GRN
PLBD1,lalala,lalala,GRN
CD2BP2,lalala,lalala,GRN
HSPA8,lalala,lalala,GRN
NNMT,lalala,lalala,GRN
KLHL29,lalala,lalala,GRN
CALD1,lalala,lalala,GRN
STAM,lalala,lalala,GRN
DSE,lalala,lalala,GRN
THBS1,lalala,lalala,GRN
VWA3A,lalala,lalala,GRN
GOLGA8B,lalala,lalala,GRN
PCDH1,lalala,lalala,GRN
GPR156,lalala,lalala,GRN
EPB41L3,lalala,lalala,GRN
GALE,lalala,lalala,GRN
RSAD2,lalala,lalala,GRN
FAM161A,lalala,lalala,GRN
ADAM32,lalala,lalala,GRN
HLA-DMB,lalala,lalala,GRN
TNNI2,lalala,lalala,GRN
TIMM17A,lalala,lalala,GRN
CPNE1,lalala,lalala,GRN
SNX22,lalala,lalala,GRN
RLIM,lalala,lalala,GRN
MYO1B,lalala,lalala,GRN
TPM1,lalala,lalala,GRN
TMEM42,lalala,lalala,GRN
AIRE,lalala,lalala,GRN
CASP1,lalala,lalala,GRN
DAZAP2,lalala,lalala,GRN
LIPT1,lalala,lalala,GRN
IFNG,lalala,lalala,GRN
HNRNPR,lalala,lalala,GRN
CAPZA2,lalala,lalala,GRN
FBXO21,lalala,lalala,GRN
DUSP19,lalala,lalala,GRN
DYRK4,lalala,lalala,GRN
NUF2,lalala,lalala,GRN
NPM1,lalala,lalala,GRN
SLC22A12,lalala,lalala,GRN
WDR24,lalala,lalala,GRN
HMGN5,lalala,lalala,GRN
SYT17,lalala,lalala,GRN
TMEM41B,lalala,lalala,GRN
ELMO3,lalala,lalala,GRN
NPDC1,lalala,lalala,GRN
CDK16,lalala,lalala,GRN
NCAPG2,lalala,lalala,GRN
TADA2A,lalala,lalala,GRN
USE1,lalala,lalala,GRN
KIAA1958,lalala,lalala,GRN
CDCA2,lalala,lalala,GRN
DNPEP,lalala,lalala,GRN
ABHD6,lalala,lalala,GRN
BEX5,lalala,lalala,GRN
MST1R,lalala,lalala,GRN
CTDSPL2,lalala,lalala,GRN
PSMD3,lalala,lalala,GRN
RTP4,lalala,lalala,GRN
NPHP4,lalala,lalala,GRN
OSBPL8,lalala,lalala,GRN
COMMD3,lalala,lalala,GRN
COMMD2,lalala,lalala,GRN
CXCR4,lalala,lalala,GRN
FGFR2,lalala,lalala,GRN
RTF1,lalala,lalala,GRN
UBE2H,lalala,lalala,GRN
RNF138P1,lalala,lalala,GRN
UAP1L1,lalala,lalala,GRN
SERHL2,lalala,lalala,GRN
CCDC17,lalala,lalala,GRN
APLP1,lalala,lalala,GRN
TUBB,lalala,lalala,GRN
TMEM87B,lalala,lalala,GRN
SMPDL3A,lalala,lalala,GRN
WNT2B,lalala,lalala,GRN
ABHD15,lalala,lalala,GRN
BPI,lalala,lalala,GRN
F2R,lalala,lalala,GRN
VPS39,lalala,lalala,GRN
TIGD5,lalala,lalala,GRN
TRPM6,lalala,lalala,GRN
PROZ,lalala,lalala,GRN
NICN1,lalala,lalala,GRN
AGR2,lalala,lalala,GRN
CROT,lalala,lalala,GRN
E2F5,lalala,lalala,GRN
DERL3,lalala,lalala,GRN
CBWD6,lalala,lalala,GRN
BCS1L,lalala,lalala,GRN
MSH2,lalala,lalala,GRN
SEC24B,lalala,lalala,GRN
SRP9,lalala,lalala,GRN
ZNF510,lalala,lalala,GRN
NDUFB2,lalala,lalala,GRN
ZNF107,lalala,lalala,GRN
CRIP3,lalala,lalala,GRN
IL23R,lalala,lalala,GRN
CXXC5,lalala,lalala,GRN
MS4A1,lalala,lalala,GRN
TNIP3,lalala,lalala,GRN
ADAM6,lalala,lalala,GRN
KHDRBS1,lalala,lalala,GRN
SS18L1,lalala,lalala,GRN
GPR21,lalala,lalala,GRN
GPR35,lalala,lalala,GRN
SNORA58,lalala,lalala,GRN
CD8B,lalala,lalala,GRN
CNTNAP2,lalala,lalala,GRN
PTPRK,lalala,lalala,GRN
ZNF529,lalala,lalala,GRN
KRR1,lalala,lalala,GRN
UQCR11,lalala,lalala,GRN
SGSM3,lalala,lalala,GRN
CCDC78,lalala,lalala,GRN
TRIO,lalala,lalala,GRN
TRMU,lalala,lalala,GRN
TP53I3,lalala,lalala,GRN
RREB1,lalala,lalala,GRN
CAMTA2,lalala,lalala,GRN
EGR2,lalala,lalala,GRN
ANTXR2,lalala,lalala,GRN
AP1G1,lalala,lalala,GRN
STARD10,lalala,lalala,GRN
FOXP1,lalala,lalala,GRN
C22orf15,lalala,lalala,GRN
ANGPTL4,lalala,lalala,GRN
IQCC,lalala,lalala,GRN
PLA2G4A,lalala,lalala,GRN
SNORD12,lalala,lalala,GRN
CHTF8,lalala,lalala,GRN
XIAP,lalala,lalala,GRN
ANKRD46,lalala,lalala,GRN
CSTB,lalala,lalala,GRN
LAX1,lalala,lalala,GRN
PNKP,lalala,lalala,GRN
KANK2,lalala,lalala,GRN
PRKRA,lalala,lalala,GRN
ADAMTS4,lalala,lalala,GRN
CALM2,lalala,lalala,GRN
ORAI2,lalala,lalala,GRN
D2HGDH,lalala,lalala,GRN
ZBTB46,lalala,lalala,GRN
ZNF506,lalala,lalala,GRN
APRT,lalala,lalala,GRN
AIM2,lalala,lalala,GRN
PALB2,lalala,lalala,GRN
CDKN1C,lalala,lalala,GRN
APBA1,lalala,lalala,GRN
NOD2,lalala,lalala,GRN
ARRB2,lalala,lalala,GRN
LILRB2,lalala,lalala,GRN
NSUN5P1,lalala,lalala,GRN
MATN1,lalala,lalala,GRN
ITGAM,lalala,lalala,GRN
ARL6IP4,lalala,lalala,GRN
DHRS4L2,lalala,lalala,GRN
FOXP3,lalala,lalala,GRN
SLC22A18,lalala,lalala,GRN
METTL2A,lalala,lalala,GRN
SPINK2,lalala,lalala,GRN
ROBO4,lalala,lalala,GRN
TBC1D22B,lalala,lalala,GRN
MRPS2,lalala,lalala,GRN
PGAP2,lalala,lalala,GRN
TP53I13,lalala,lalala,GRN
ZC3H14,lalala,lalala,GRN
PSMG3,lalala,lalala,GRN
MKRN3,lalala,lalala,GRN
SAR1A,lalala,lalala,GRN
PPP1R3G,lalala,lalala,GRN
CD5,lalala,lalala,GRN
ATL1,lalala,lalala,GRN
CD3G,lalala,lalala,GRN
ZNF41,lalala,lalala,GRN
HIF1A,lalala,lalala,GRN
GZMK,lalala,lalala,GRN
FCGBP,lalala,lalala,GRN
LSM1,lalala,lalala,GRN
NEFL,lalala,lalala,GRN
OAZ2,lalala,lalala,GRN
CD248,lalala,lalala,GRN
UTS2,lalala,lalala,GRN
TRIM65,lalala,lalala,GRN
CH25H,lalala,lalala,GRN
PARD6B,lalala,lalala,GRN
MAP3K5,lalala,lalala,GRN
FREM1,lalala,lalala,GRN
PIGB,lalala,lalala,GRN
ATP10D,lalala,lalala,GRN
POLR2K,lalala,lalala,GRN
FLNB,lalala,lalala,GRN
RNF19A,lalala,lalala,GRN
ANKZF1,lalala,lalala,GRN
RAB2A,lalala,lalala,GRN
SHISA5,lalala,lalala,GRN
B4GALT5,lalala,lalala,GRN
ZNF513,lalala,lalala,GRN
DCLRE1C,lalala,lalala,GRN
FNDC8,lalala,lalala,GRN
LAG3,lalala,lalala,GRN
MLLT1,lalala,lalala,GRN
PARN,lalala,lalala,GRN
DNTTIP2,lalala,lalala,GRN
FRY,lalala,lalala,GRN
LPL,lalala,lalala,GRN
ADARB1,lalala,lalala,GRN
SNORD89,lalala,lalala,GRN
SPINT2,lalala,lalala,GRN
CIR1,lalala,lalala,GRN
RAB40C,lalala,lalala,GRN
FPGS,lalala,lalala,GRN
FOSB,lalala,lalala,GRN
LRRC2,lalala,lalala,GRN
RCC1,lalala,lalala,GRN
SSNA1,lalala,lalala,GRN
UNKL,lalala,lalala,GRN
MYO18B,lalala,lalala,GRN
RUNDC1,lalala,lalala,GRN
FOXJ2,lalala,lalala,GRN
FOXJ1,lalala,lalala,GRN
AGPS,lalala,lalala,GRN
FOXO3B,lalala,lalala,GRN
BTBD8,lalala,lalala,GRN
GFRA2,lalala,lalala,GRN
GLRX5,lalala,lalala,GRN
RPL3,lalala,lalala,GRN
MCTP2,lalala,lalala,GRN
ZNF772,lalala,lalala,GRN
ZNF525,lalala,lalala,GRN
C8orf76,lalala,lalala,GRN
ENTPD6,lalala,lalala,GRN
FRMD3,lalala,lalala,GRN
SRBD1,lalala,lalala,GRN
PRR12,lalala,lalala,GRN
SNORD24,lalala,lalala,GRN
FZD7,lalala,lalala,GRN
SNORA49,lalala,lalala,GRN
TBRG1,lalala,lalala,GRN
ACADVL,lalala,lalala,GRN
TRAT1,lalala,lalala,GRN
TRPA1,lalala,lalala,GRN
LRP10,lalala,lalala,GRN
ST7,lalala,lalala,GRN
RTKN,lalala,lalala,GRN
TRIM11,lalala,lalala,GRN
NRXN3,lalala,lalala,GRN
CREM,lalala,lalala,GRN
CLNK,lalala,lalala,GRN
CA2,lalala,lalala,GRN
GP9,lalala,lalala,GRN
KEL,lalala,lalala,GRN
SFRP2,lalala,lalala,GRN
IFIT1B,lalala,lalala,GRN
SLC26A2,lalala,lalala,GRN
KLF13,lalala,lalala,GRN
TIMM44,lalala,lalala,GRN
GALNT5,lalala,lalala,GRN
SLC6A8,lalala,lalala,GRN
TMEM220,lalala,lalala,GRN
MYL4,lalala,lalala,GRN
PAQR9,lalala,lalala,GRN
CCDC91,lalala,lalala,GRN
WDFY3,lalala,lalala,GRN
PLEK2,lalala,lalala,GRN
PLVAP,lalala,lalala,GRN
PCMTD1,lalala,lalala,GRN
MBNL3,lalala,lalala,GRN
PAGE2B,lalala,lalala,GRN
ARHGAP42,lalala,lalala,GRN
FOLR2,lalala,lalala,GRN
FANCD2,lalala,lalala,GRN
GNAT2,lalala,lalala,GRN
GBP4,lalala,lalala,GRN
GSN,lalala,lalala,GRN
IDH3G,lalala,lalala,GRN
PDP2,lalala,lalala,GRN
PMCH,lalala,lalala,GRN
CCDC146,lalala,lalala,GRN
TNFRSF12A,lalala,lalala,GRN
PLXDC1,lalala,lalala,GRN
TRIB2,lalala,lalala,GRN
TSC22D2,lalala,lalala,GRN
HSP90B1,lalala,lalala,GRN
GATA6,lalala,lalala,GRN
CTLA4,lalala,lalala,GRN
SSBP3,lalala,lalala,GRN
C12orf29,lalala,lalala,GRN
KIAA1671,lalala,lalala,GRN
SERPINA1,lalala,lalala,GRN
HSPA7,lalala,lalala,GRN
BTLA,lalala,lalala,GRN
BTF3,lalala,lalala,GRN
PSMC5,lalala,lalala,GRN
EIF3I,lalala,lalala,GRN
SLC16A6,lalala,lalala,GRN
CCL4,lalala,lalala,GRN
CD3E,lalala,lalala,GRN
CD48,lalala,lalala,GRN
CD55,lalala,lalala,GRN
CENPK,lalala,lalala,GRN
IL6,lalala,lalala,GRN
TNF,lalala,lalala,GRN
LGR6,lalala,lalala,GRN
ABCC3,lalala,lalala,GRN
TKTL1,lalala,lalala,GRN
N4BP2,lalala,lalala,GRN
NEU4,lalala,lalala,GRN
MUSTN1,lalala,lalala,GRN
ZHX3,lalala,lalala,GRN
SMARCD1,lalala,lalala,GRN
AP1S3,lalala,lalala,GRN
KMO,lalala,lalala,GRN
GBA2,lalala,lalala,GRN
MGAT5,lalala,lalala,GRN
TDRD7,lalala,lalala,GRN
RILPL1,lalala,lalala,GRN
CYB5R1,lalala,lalala,GRN
FBXL4,lalala,lalala,GRN
ZNF232,lalala,lalala,GRN
RANGAP1,lalala,lalala,GRN
SGTB,lalala,lalala,GRN
CLEC10A,lalala,lalala,GRN
TAOK2,lalala,lalala,GRN
SCARNA8,lalala,lalala,GRN
SEC11C,lalala,lalala,GRN
ZP3,lalala,lalala,GRN
ACD,lalala,lalala,GRN
BAX,lalala,lalala,GRN
LNPEP,lalala,lalala,GRN
LRRC1,lalala,lalala,GRN
TUBA4A,lalala,lalala,GRN
POC5,lalala,lalala,GRN
SPATS2,lalala,lalala,GRN
NPAT,lalala,lalala,GRN
DEPDC1B,lalala,lalala,GRN
OR52K1,lalala,lalala,GRN
ANKS3,lalala,lalala,GRN
TMEM119,lalala,lalala,GRN
GMEB2,lalala,lalala,GRN
PRKCE,lalala,lalala,GRN
NAP1L4,lalala,lalala,GRN
CDKN2D,lalala,lalala,GRN
SCYL2,lalala,lalala,GRN
AGPAT3,lalala,lalala,GRN
CDC6,lalala,lalala,GRN
CPOX,lalala,lalala,GRN
OPRL1,lalala,lalala,GRN
CLDN5,lalala,lalala,GRN
RPGRIP1L,lalala,lalala,GRN
CLDN12,lalala,lalala,GRN
SBDSP1,lalala,lalala,GRN
HS3ST3B1,lalala,lalala,GRN
GJB6,lalala,lalala,GRN
HDAC10,lalala,lalala,GRN
CECR2,lalala,lalala,GRN
GALNT4,lalala,lalala,GRN
FAM186B,lalala,lalala,GRN
RPL5,lalala,lalala,GRN
TGM5,lalala,lalala,GRN
GLRX3,lalala,lalala,GRN
MAT2A,lalala,lalala,GRN
TAF11,lalala,lalala,GRN
DLGAP4,lalala,lalala,GRN
FSTL3,lalala,lalala,GRN
CDC7,lalala,lalala,GRN
KLRB1,lalala,lalala,GRN
HDDC3,lalala,lalala,GRN
ZNF420,lalala,lalala,GRN
ALOX5,lalala,lalala,GRN
LY6G6F,lalala,lalala,GRN
KSR1,lalala,lalala,GRN
C21orf91,lalala,lalala,GRN
MLH1,lalala,lalala,GRN
TCF20,lalala,lalala,GRN
THOC6,lalala,lalala,GRN
UBL7,lalala,lalala,GRN
CDC25C,lalala,lalala,GRN
SLC12A7,lalala,lalala,GRN
KBTBD3,lalala,lalala,GRN
CACNA2D2,lalala,lalala,GRN
MYBPC3,lalala,lalala,GRN
TXLNA,lalala,lalala,GRN
CD68,lalala,lalala,GRN
ZNF391,lalala,lalala,GRN
DGKK,lalala,lalala,GRN
RGS18,lalala,lalala,GRN
ZFP36L1,lalala,lalala,GRN
SHANK3,lalala,lalala,GRN
SMAD7,lalala,lalala,GRN
RNF157,lalala,lalala,GRN
RNF135,lalala,lalala,GRN
MYO3B,lalala,lalala,GRN
RUNDC3A,lalala,lalala,GRN
YIPF4,lalala,lalala,GRN
PGAM2,lalala,lalala,GRN
ARL4C,lalala,lalala,GRN
PROM1,lalala,lalala,GRN
PPP1R8,lalala,lalala,GRN
SLC24A3,lalala,lalala,GRN
DHX37,lalala,lalala,GRN
NUAK1,lalala,lalala,GRN
CX3CR1,lalala,lalala,GRN
JAM2,lalala,lalala,GRN
TUBE1,lalala,lalala,GRN
GABARAPL1,lalala,lalala,GRN
ALKBH4,lalala,lalala,GRN
UFM1,lalala,lalala,GRN
ZNF496,lalala,lalala,GRN
PSRC1,lalala,lalala,GRN
ZDHHC3,lalala,lalala,GRN
PXN,lalala,lalala,GRN
ZDHHC16,lalala,lalala,GRN
THG1L,lalala,lalala,GRN
