Regulator	Target	MI	pvalue
USF2	C8orf56	0.5913954835611887	9.824611124642502E-9
GTF2F1	FSCN2	0.669242991542653	2.0267808875651383E-7
PML	POLG	0.6446015796551614	0.0
SREBF2	ZNF692	0.7121069715582441	0.0
TFAP2C	XRN1	0.6199377462917628	0.0
SP1	HEG1	0.7967038715345808	0.0
BCL3	FAM53C	0.6337998394324829	3.938213563037252E-6
USF1	CFLAR	0.653603442939443	0.0011875589665533148
TFAP2C	EIF2S3	0.5804195376757175	7.115492800746637E-5
ESRRA	KIAA1731	0.6294433082868277	0.0011875589665533148
SMC3	TUBGCP4	0.6573649781315078	0.0
XRCC4	TUBB3	0.6547234690452984	0.0
ZNF384	FUT4	0.6367130719240002	0.018184724233354377
SP1	IL23R	0.6242789638277384	2.0267808875651383E-7
KDM4A	TAS1R2	0.6635107076807414	2.0267808875651383E-7
MXI1	TMEM41B	0.6575114336737083	0.0
RBBP5	TCP11L1	0.6660521012019386	0.0
USF2	RIMBP3	0.6572258663407263	0.0011875589665533148
BCLAF1	PTCD2	0.6625002084906249	2.0267808875651383E-7
ARID3A	CUL5	0.735763584475927	3.6387448609787043E-10
ZNF274	UTP3	0.6077759310319707	2.0267808875651383E-7
TRIM28	KIAA1731	0.7171263911651274	0.0
SMARCB1	DCAF7	0.6985619647920368	3.938213563037252E-6
TFAP2C	EIF2B1	0.6402108175537023	9.824611124642502E-9
MAFK	IER2	0.6455539861523283	0.0011875589665533148
KDM5B	TTK	0.6101265512523563	0.018184724233354377
ESRRA	TPD52L3	0.6434873880977854	2.0267808875651383E-7
BDP1	XIRP2	0.6540161083868006	0.0011875589665533148
TAF1	KIAA1984	0.6941632593664506	3.938213563037252E-6
IRF4	ADAM7	0.6729244787869648	0.0
CHD4	SDCCAG3	0.6506981164319304	0.018184724233354377
CHD4	SDCCAG8	0.6431079281429573	0.018184724233354377
KDM4A	KIAA0090	0.6531474442168199	3.6387448609787043E-10
TAF1	KIAA1967	0.6887046237364715	0.0
GATA3	FAM113B	0.7961412216166767	0.0
SP1	IL2RG	0.7176423775233364	0.0
KDM5B	TFG	0.6602912805828144	0.0011875589665533148
H2AFZ	FANCI	0.702351610649901	0.018184724233354377
CCNT2	ORC3L	0.6800303363608536	7.115492800746637E-5
TRIM28	KIAA1704	0.6738761904278827	0.018184724233354377
ZNF274	USP3	0.6522945435328242	0.0
ZNF274	USP5	0.7013620110293189	0.0
ZNF274	USP8	0.6978531634632433	7.115492800746637E-5
CCNT2	ORC4L	0.671832492766704	7.115492800746637E-5
H2AFZ	FANCA	0.6563100317705478	0.0
H2AFZ	FANCB	0.641518226979369	2.0267808875651383E-7
H2AFZ	FANCG	0.6767698295560771	0.0
POLR2A	TTC22	0.6402095035825482	0.0
SMARCC1	MAP1A	0.6945841625219157	9.824611124642502E-9
SMARCC1	MAP1D	0.6251909845249171	7.115492800746637E-5
GATA3	CCDC109B	0.6711925036764187	0.0
CHD1	PROCR	0.6825802987497395	7.115492800746637E-5
GTF3C2	SUSD1	0.6778819612100025	0.018184724233354377
CBX3	LRRC36	0.6565564786236793	2.0267808875651383E-7
CBX3	LRRC41	0.6683965728686199	0.0
MEF2A	LRRFIP1	0.6549456118544684	0.0
IRF3	FBXL8	0.625710427639254	7.115492800746637E-5
CTCFL	DCP1B	0.6600034718066632	3.6387448609787043E-10
BRF1	YIF1B	0.6780038548619994	0.018184724233354377
UBTF	ANKRD40	0.7588877035099248	0.0
HMGN3	CEP170L	0.6528751787418591	2.0267808875651383E-7
KDM5B	SET	0.6683844627818846	0.0
NFYA	SFXN4	0.6303120918865962	3.6387448609787043E-10
FOXM1	OAT	0.6338451367141138	7.115492800746637E-5
GTF3C2	SCAP	0.679036321629801	0.0
BCL11A	NAT15	0.63048940094257	0.0
ELF1	GABPA	0.6245086196964953	0.0
KAT2A	XPO7	0.6959158265313989	0.0
ATF1	ATF2	0.6746795853029011	0.018184724233354377
GATA3	SKAP2	0.812736269271281	0.0
XRCC4	PDGFC	0.6228572164269951	0.018184724233354377
MXI1	TMEM117	0.6670731228590367	0.0
ZC3H11A	CWC22	0.6391102541519837	3.6387448609787043E-10
RBBP5	RNF121	0.616954766758635	0.018184724233354377
NFYA	KLHL26	0.6114449326467206	0.0011875589665533148
CHD4	TCP11L1	0.6755499358947372	0.0
SP1	TNFRSF18	0.6074490090537569	7.115492800746637E-5
MYBL2	MCOLN2	0.7205974141732341	0.0
MYBL2	MCOLN3	0.6645367895983829	9.824611124642502E-9
ATF2	AKAP12	0.6047457595491151	2.0267808875651383E-7
BDP1	SDCCAG3	0.7392334245845463	0.0
SAP30	AATF	0.5820366053487028	0.0011875589665533148
FOXM1	VCL	0.663721088035776	0.0
CEBPZ	CLNS1A	0.650130674761243	0.0011875589665533148
NR2C2	HIST1H4B	0.6308899727658688	0.0
NR2C2	HIST1H4J	0.6201963253406897	2.0267808875651383E-7
SMC3	CCDC36	0.6582729668369254	0.0
SIRT6	NR2C2	0.6063062600152231	0.018184724233354377
POLR2A	TTLL7	0.6020836799577122	0.0011875589665533148
POLR2A	TTLL9	0.6516022367220702	2.0267808875651383E-7
TFAP2C	PVALB	0.6700050232596805	0.0011875589665533148
ZNF143	ASCC3	0.6358973724763899	0.0
CEBPZ	GTF2H1	0.6412856945806685	0.018184724233354377
ARID3A	CHD9	0.6649633455556896	0.0
UBTF	SDF2L1	0.6628179833174725	0.0
POU5F1	TCFL5	0.6257684152247052	0.018184724233354377
CEBPZ	UBXN7	0.6536993550101261	0.0
MYBL2	TCFL5	0.6996237353612038	0.0
KDM5A	MACF1	0.5891340072713299	0.0011875589665533148
KAT2B	SEPT7P2	0.6437227325970384	3.938213563037252E-6
SMARCB1	MED28	0.7397718059730813	0.018184724233354377
CBX3	ZSCAN10	0.6441401463994963	9.824611124642502E-9
CEBPB	FCGR3A	0.6646814247257669	3.6387448609787043E-10
CCNT2	PAPOLG	0.661977673027659	0.0
CCNT2	PAPOLA	0.6704221712106121	7.115492800746637E-5
ARID3A	C2orf68	0.6429571913954178	7.115492800746637E-5
ARID3A	C2orf50	0.7134890375080682	7.115492800746637E-5
ARID3A	C2orf57	0.7321919969945625	0.0011875589665533148
CCNT2	LYSMD3	0.6513331690791255	0.0
CREBBP	MAPK10	0.6466245550787993	0.0011875589665533148
MYBL2	TCF19	0.6809813900115534	0.018184724233354377
CREBBP	MAPK14	0.6544338946414804	0.0011875589665533148
CEBPZ	NUFIP1	0.6889342211275964	7.115492800746637E-5
SREBF1	PRICKLE4	0.6126530860580707	9.824611124642502E-9
FOXM1	SHD	0.7451179125566393	0.0
HCFC1	ZBTB22	0.7079226483435389	2.0267808875651383E-7
CREBBP	C10orf119	0.649047797387208	0.0011875589665533148
TBP	CHID1	0.6486542542688556	0.0011875589665533148
BCLAF1	SFRS13A	0.6286566910855359	3.6387448609787043E-10
BCLAF1	SFRS17A	0.714107175647336	0.018184724233354377
STAT5A	C14orf72	0.6802693381546738	7.115492800746637E-5
ETS1	LOXL3	0.6491540572951817	0.0
STAT5A	C14orf64	0.6926608998004435	0.0
NCOR1	RPUSD2	0.75853289912747	0.0011875589665533148
SMARCC2	SMYD4	0.5986881439959262	0.0011875589665533148
KDM4A	KIAA0753	0.6644603315685906	0.0011875589665533148
KDM1A	REPIN1	0.6571449440795584	7.115492800746637E-5
GATA3	C20orf29	0.6186739051921821	0.018184724233354377
RBBP5	NAA15	0.73988726978586	3.938213563037252E-6
ZC3H11A	C8orf41	0.6571631432095617	0.0
YY1	RAB6A	0.6708661735446951	2.0267808875651383E-7
RXRA	PRSS54	0.6401478951611201	0.0011875589665533148
MYBL2	SAMD4A	0.9888556270243114	0.0
TAF1	WDR26	0.6923045806268219	0.0
BRF2	RAD18	0.5875474022547829	0.018184724233354377
KDM1A	TFDP2	0.6338649068764131	0.0011875589665533148
GTF3C2	SNORD96B	0.6538996500749469	0.0011875589665533148
TAF1	KIAA1267	0.6663909970221525	0.018184724233354377
MXI1	RASA1	0.6117968943524259	0.018184724233354377
NFE2	RRP8	0.6269079006674912	9.824611124642502E-9
TAF7	PAFAH1B3	0.6779833692299074	9.824611124642502E-9
GABPA	XPO5	0.5972681941034127	0.018184724233354377
ELF1	TTBK1	0.6521944215693176	7.115492800746637E-5
GTF3C2	ANGEL2	0.6677184055121347	3.938213563037252E-6
UBTF	PI4K2A	0.6107336893891838	2.0267808875651383E-7
ESRRA	KIAA1033	0.630039099417966	9.824611124642502E-9
CHD2	RNF39	0.625490679398273	0.018184724233354377
TAF7	RPSAP58	0.704849270915789	0.0011875589665533148
CHD2	RNF41	0.6706109756159927	0.0
ATF2	FAM48A	0.6858692689103757	0.0
ELF1	TTC32	0.6527233930684867	3.6387448609787043E-10
KDM1A	TFCP2	0.5898594474399447	0.018184724233354377
ESRRA	KIAA1012	0.6501773010189813	0.0011875589665533148
SMARCC2	HERC2P2	0.6637967410600131	7.115492800746637E-5
TAF7	ATP6V0A2	0.66972457323358	0.018184724233354377
BRF1	LRSAM1	0.6265258487321756	0.018184724233354377
ELF1	NPLOC4	0.6764788961110626	2.0267808875651383E-7
SP2	ANKRD1	0.6023369825224825	0.018184724233354377
CCNT2	MAN1A2	0.6414631198957603	0.0011875589665533148
ARID3A	COG3	0.7080375038421459	0.0011875589665533148
ARID3A	COG6	0.6365777436685857	3.6387448609787043E-10
GTF2F1	PNPLA5	0.6407848866367285	9.824611124642502E-9
ELK1	SLC22A10	0.634740472283544	0.018184724233354377
GTF2F1	YBX2	0.6402377600171122	7.115492800746637E-5
PML	PKN3	0.6474889684530194	7.115492800746637E-5
TAF1	WDR87	0.5846479947548564	0.0
TAF1	WDR88	0.6044147907840338	3.6387448609787043E-10
POLR3A	STRADB	0.667281977764609	9.824611124642502E-9
TAF7	MIB1	0.6300195974738448	0.0011875589665533148
YY1	RAB31	0.6531043318227084	7.115492800746637E-5
ATF2	RCAN1	0.637721419584885	3.6387448609787043E-10
GABPA	XRN1	0.6713576378340704	0.0
KAT2A	MCCC2	0.6850653504811871	0.0
CCNT2	MOBKL3	0.634439698048673	0.018184724233354377
ELF1	C1orf101	0.6202373709207372	0.0
SMARCC1	NMRAL1	0.6223239940395227	0.0
GTF3C2	RXRA	0.6458135521529059	0.018184724233354377
GTF3C2	RXRG	0.6811506452445587	3.938213563037252E-6
RXRA	DSCR9	0.6354751514782109	0.018184724233354377
EP300	WDR83	0.6661541962951737	0.018184724233354377
ETS1	C8orf79	0.6527603048767212	0.0
SP1	MCOLN2	0.650827867660587	7.115492800746637E-5
SP1	MCOLN3	0.6414341713389509	3.938213563037252E-6
ZNF384	PDCD5	0.7139190575737839	0.0011875589665533148
MAFF	ZXDA	0.614111441162421	0.0011875589665533148
CCNT2	TDRD7	0.6360476885940086	3.938213563037252E-6
GATA1	CD36	0.644623263056882	0.0011875589665533148
ELK4	OR52N4	0.6108641460531312	0.018184724233354377
GATA1	CCNF	0.6604277116744134	9.824611124642502E-9
TAF7	PSORS1C1	0.6575571455894826	0.018184724233354377
CEBPZ	MRE11A	0.6368227603081699	9.824611124642502E-9
TBP	CIAO1	0.6850543539520125	3.938213563037252E-6
IRF4	SIRT2	0.6664418841165206	0.0
ZC3H11A	STK38	0.7366020040911415	3.938213563037252E-6
HDAC2	ITGB2	0.618580037170237	0.0011875589665533148
ZBTB7A	PITRM1	0.6231375173044404	2.0267808875651383E-7
GATA3	TMSB10	0.6608919097740102	3.938213563037252E-6
UBTF	POLR3D	0.6045101006780038	0.0
GATA1	CBLB	0.59403152702507	2.0267808875651383E-7
BRF1	SAMD12	0.5992662332605965	0.018184724233354377
NFYA	C2orf69	0.6391106302703996	0.0
CHD1	GPR77	0.6886546474314984	3.938213563037252E-6
ARID3A	CBR4	0.7181161369490733	0.0
CHD1	GPR68	0.6488136595154143	0.0
FOXM1	CDC20B	0.6975479468340904	0.0
GTF2F1	THAP8	0.6164974339781587	0.0
NFYB	POLA1	0.6046558295977856	3.938213563037252E-6
RBBP5	C10orf78	0.6813250877927628	0.0
BRCA1	TMEM9	0.6000919520657698	7.115492800746637E-5
NFYB	POLE4	0.7293572650952579	9.824611124642502E-9
CHD1	GPSM1	0.6649951787394802	0.0
ESRRA	CHPT1	0.7044193884127943	0.0
CBX3	SFRS13B	0.6645833329959762	0.0
FOXM1	CDC25A	0.7168839273275539	0.0
FOXM1	CDC25C	0.8008924270876607	0.0
NR2C2	PRMT6	0.7085023477610948	0.0
HMGN3	SDCCAG3	0.7048216600624655	0.0
ELK4	C17orf67	0.6584710551588684	3.6387448609787043E-10
KDM1A	C15orf44	0.6605896419286724	0.018184724233354377
GTF3C2	HARBI1	0.6666167727296577	0.0011875589665533148
SMC3	C1orf107	0.7105680216449933	0.0
MAFF	IQSEC1	0.6546080426704537	0.0
POLR3A	SPATA2	0.6459771811573561	0.0
TAF7	LSM7	0.6707222690704933	0.0
GTF3C2	RNASEK	0.6384149690561495	0.018184724233354377
MYBL2	MAGEE2	0.6601593487826182	7.115492800746637E-5
GATA1	CA10	0.6703678050784824	0.0
SREBF2	FDXR	0.700847349240387	9.824611124642502E-9
SIRT6	TRIM69	0.6543886678983245	0.0011875589665533148
RBBP5	METTL6	0.6905829606164371	0.0
CEBPB	CCDC78	0.6616313000875628	0.0
SMARCC2	SMC1A	0.6718053931539694	3.6387448609787043E-10
ELK1	THAP8	0.6421032807872216	0.0
IRF4	PLEKHA2	0.6373886357152883	0.018184724233354377
SIRT6	TRIM39	0.6348998093547422	7.115492800746637E-5
ETS1	KIAA2022	0.6609223174152524	3.938213563037252E-6
ELK4	PRRT2	0.7305309209943803	0.018184724233354377
IRF4	PLEKHG2	0.6246349686261315	0.0
HDAC1	C10orf119	0.6443824637427069	0.0011875589665533148
CEBPB	CCDC11	0.6126491012547443	3.938213563037252E-6
MAFF	PHF17	0.6909305263839709	2.0267808875651383E-7
CTCFL	ATR	0.713666504750254	7.115492800746637E-5
POU2F2	OR2L13	0.6865829022659123	0.018184724233354377
CTCFL	APP	0.6400932108081752	0.018184724233354377
ELF1	PDE7A	0.6518182235788911	0.018184724233354377
CEBPB	KIAA1586	0.638329336308998	0.0
ATF2	SNORD43	0.6871075439334271	0.018184724233354377
ESRRA	SLC7A5P2	0.5870794419403009	0.018184724233354377
TBP	UNC50	0.6187995361796396	0.018184724233354377
ARID3A	CDK1	0.6703981960731693	0.018184724233354377
ARID3A	CDK7	0.6221892062645401	2.0267808875651383E-7
ELF1	CCDC53	0.6218641312608808	0.0
ELF1	CCDC43	0.6655007522353604	0.018184724233354377
CTCFL	ACD	0.5991102811086119	3.6387448609787043E-10
POLR3A	TRYX3	0.6265918001690723	3.6387448609787043E-10
SUZ12	XRCC1	0.60954190063721	0.0
GTF3C2	FBXW8	0.6277672390293743	2.0267808875651383E-7
GTF3C2	FBXW9	0.6997842058210088	0.0
POLR3A	CCDC144A	0.6539406497014051	0.0
WRNIP1	NUP93	0.643651791110148	0.0
CREBBP	HDLBP	0.6095951181625421	0.018184724233354377
TFAP2C	PUSL1	0.6068892705662049	0.018184724233354377
ELF1	PDCL2	0.7642309089386343	0.018184724233354377
ZNF143	ATAD1	0.6711257869262623	3.938213563037252E-6
ARID3A	CD99	0.6413482493153462	0.018184724233354377
NFYB	LARP4B	0.6320136537712184	3.6387448609787043E-10
NFYB	C21orf62	0.6181383980956932	2.0267808875651383E-7
KDM1A	TRMT12	0.6394670028650131	0.0
GTF3C2	RRS1	0.6575938817775085	0.0011875589665533148
BRCA1	CEP152	0.6713364595623845	0.0
KDM5B	CD4	0.6179733753733043	0.0
KDM5B	CDA	0.6460028512887281	0.018184724233354377
GTF3C2	RRP9	0.7362808114117791	0.0
MXI1	C2orf27A	0.7139521051721478	3.938213563037252E-6
SUZ12	PM20D2	0.634249653491895	3.938213563037252E-6
USF2	C22orf30	0.7127361065013379	7.115492800746637E-5
SMARCA4	PNMA1	0.7118333140542439	0.018184724233354377
NFYB	TMEM50B	0.635511177459434	0.0011875589665533148
BDP1	ZRSR2	0.6562959942290494	0.018184724233354377
E2F6	ATG2A	0.6079916744790771	7.115492800746637E-5
MAFF	S1PR4	0.6836448098975791	0.0
ATF2	TMEM126B	0.7212784809578714	2.0267808875651383E-7
SMARCC1	ZBTB48	0.5978207829064319	0.0011875589665533148
ZNF143	EXOSC1	0.627395263344366	0.0011875589665533148
XRCC4	C17orf53	0.634930543320761	3.938213563037252E-6
BRF1	GCNT1	0.6169270576789213	7.115492800746637E-5
BRF2	MOCS3	0.6298432886435389	3.938213563037252E-6
TRIM28	NAPRT1	0.6186280566404039	0.0011875589665533148
ELK4	PRPF3	0.6393926737058276	0.0
GTF2F1	THRAP3	0.6602274326393857	3.6387448609787043E-10
SUZ12	TAGAP	0.5919273978505156	0.0
MXI1	DMAP1	0.6212979543184051	3.938213563037252E-6
TFAP2C	BMS1P4	0.6727836144290666	7.115492800746637E-5
CHD4	LRPPRC	0.6657957108312872	7.115492800746637E-5
ATF2	TMEM132C	0.6849711152502477	0.0
IRF4	ACAN	0.6375642398210156	0.0
KAT2A	YBX2	0.6503449502966682	7.115492800746637E-5
ARID3A	CERK	0.6618630114235474	0.0011875589665533148
HMGN3	PIBF1	0.6286198080793844	0.0
GATA1	TRIM14	0.6954426990065546	0.0
GTF3C2	RPL8	0.6662032644974197	7.115492800746637E-5
GATA1	TRIM60	0.6319166099307018	3.938213563037252E-6
GTF2F1	MGC70857	0.6299020518410519	7.115492800746637E-5
SUZ12	TADA3	0.6693168384525356	0.0
ZNF384	DYRK1A	0.6246917042356157	0.0
FOS	C11orf92	0.6361275036417517	3.6387448609787043E-10
SMC3	EME1	0.6419874232129261	2.0267808875651383E-7
STAT5A	MARCH9	0.7096157403601896	0.0011875589665533148
RXRA	ZFC3H1	0.6532296002857988	0.0
GTF3C2	SAV1	0.7029454075566537	0.0011875589665533148
MXI1	MICALL1	0.7263769358872729	0.0
TBL1XR1	CEP70	0.6702142281956502	0.018184724233354377
GABPA	HPSE2	0.6437736737474862	0.018184724233354377
TRIM28	MED10	0.7064759387118593	0.0011875589665533148
NCOR1	CDK13	0.7418778626246725	0.0
NCOR1	CDK14	0.6457208130523906	0.0
HMGN3	SERPINB7	0.6581732238507919	3.938213563037252E-6
CEBPD	SNX25	0.6156388990970503	0.018184724233354377
GTF3C2	CYYR1	0.6240907233373792	3.938213563037252E-6
IRF4	ARSH	0.6831041150962763	0.0
FOXM1	DTL	0.708509353863404	0.0
CEBPB	SLC15A4	0.7262394038306562	0.0011875589665533148
SMARCC2	SMEK2	0.6158962829150717	0.0011875589665533148
POLR2A	SFRS17A	0.6722814685972506	0.0
TAF7	TOMM7	0.6614601966246241	0.018184724233354377
TCF7L2	C1orf100	0.6257466808778178	0.018184724233354377
CEBPB	MORC2	0.679353247818646	3.938213563037252E-6
GATA3	FAM159A	0.7138998889463666	9.824611124642502E-9
MYBL2	SLCO4C1	0.602178310581032	3.938213563037252E-6
GTF3C2	LPCAT3	0.615948070325151	0.018184724233354377
GATA3	FAM153B	0.6814916957876483	0.018184724233354377
MYB	GPR84	0.6009167147941898	0.0011875589665533148
KDM5B	GP5	0.6338089269077851	3.938213563037252E-6
GABPA	YAP1	0.6709150122649978	0.0
BCLAF1	RANBP3	0.6250196137805673	7.115492800746637E-5
WRNIP1	RPUSD4	0.6081194619030302	2.0267808875651383E-7
SMARCC1	MBNL1	0.6633524007761412	9.824611124642502E-9
CEBPB	SLC16A4	0.6415648811726042	0.0
ELF1	RALBP1	0.6835222819293642	2.0267808875651383E-7
GATA3	LOC100128542	0.6700279745767234	2.0267808875651383E-7
GTF3C2	SLC18A1	0.6436199432377661	0.0
SIRT6	ATP13A1	0.6293367049009579	3.938213563037252E-6
POU5F1	ST6GAL2	0.6240304355511602	0.018184724233354377
GABPA	MBNL3	0.658639618800753	0.018184724233354377
KAT2B	SMUG1	0.6403294640345898	0.0
USF2	RSAD2	0.5851775778673429	0.0011875589665533148
KDM5B	ZSCAN5A	0.6561880070182462	7.115492800746637E-5
TAL1	FAM96B	0.5866904914538599	0.0011875589665533148
FOXM1	CD5	0.6669358902214895	0.0
MYBL2	SLCO1A2	0.6633408045376334	3.6387448609787043E-10
BCLAF1	PSG10	0.5869038265940165	7.115492800746637E-5
KDM5B	KLHL25	0.729494411527595	0.0
KDM5B	KLHL26	0.6636555106347186	0.0
KDM5B	ZSCAN10	0.6766828689147588	2.0267808875651383E-7
ZC3H11A	ZNF26	0.6480004233788931	0.0
ATF2	PIK3R4	0.6857607651100911	0.0
KDM5B	ZSCAN22	0.7410788575929564	0.0
CEBPZ	UBE3C	0.6595716181587095	7.115492800746637E-5
ZC3H11A	ZNF43	0.6578275703987063	0.018184724233354377
CHD4	ANKMY2	0.6574398652469183	0.018184724233354377
RUNX3	CCDC104	0.6592463335340621	7.115492800746637E-5
CBX8	FDPSL2A	0.633152629691778	9.824611124642502E-9
TBP	TADA2B	0.6128206343565653	9.824611124642502E-9
TFAP2C	KIAA1539	0.674821044613928	9.824611124642502E-9
KDM1A	OTUD4	0.6521198180302317	0.0011875589665533148
HDAC2	CNTROB	0.6907857611343801	7.115492800746637E-5
MAFK	DENND2D	0.6204669701674228	2.0267808875651383E-7
ELK4	FAM76B	0.668493785233537	3.938213563037252E-6
BACH1	HLA-DQB2	0.6267933759648011	0.018184724233354377
POLR3A	C18orf55	0.610604688797815	0.018184724233354377
KDM5A	ATRIP	0.6342691190785376	3.938213563037252E-6
ZC3H11A	PEX11G	0.6396896753950813	3.938213563037252E-6
FLI1	CDK1	0.6272942520967867	7.115492800746637E-5
GATA3	FAM190B	0.6905467696493429	0.0
KDM5B	SMYD4	0.6588955280015932	0.0011875589665533148
RUNX3	MRPS5	0.6635296300951333	3.938213563037252E-6
UBTF	JARID2	0.6207282206805398	0.018184724233354377
ARID3A	ZRSR2	0.7810970235704424	2.0267808875651383E-7
CCNT2	FOXP1	0.6688508477508209	0.0011875589665533148
HSF1	ITFG3	0.6344452035799213	0.0
SMC3	ERI1	0.6694329424231673	2.0267808875651383E-7
SMC3	ERI2	0.7496371409255302	7.115492800746637E-5
RCOR1	DAPK3	0.660878109205814	7.115492800746637E-5
CHD1	EHMT1	0.6462663512568281	0.018184724233354377
CHD1	EHMT2	0.6644010837151774	9.824611124642502E-9
POLR3A	TRPV4	0.6680198009134045	3.938213563037252E-6
CCNT2	FOXJ3	0.7315740519216595	0.0
ZNF274	PPIL4	0.6606057978686791	2.0267808875651383E-7
GATA3	FAM19A1	0.6894178015390234	0.0
RBBP5	AGPAT5	0.7583098012207914	0.0
MAFK	ANKRD44	0.6186112004776264	0.0
SUZ12	TBC1D1	0.6496279253335188	7.115492800746637E-5
TFAP2C	KIAA1143	0.5988156575260999	0.018184724233354377
CEBPB	FAM108A1	0.6198281650416813	0.018184724233354377
POLR3A	TRPT1	0.6663245570850055	0.0
FLI1	CBLB	0.6353982641650624	7.115492800746637E-5
TBP	NSUN4	0.608353727631953	0.0011875589665533148
TBP	NSUN5	0.6327454447452046	0.018184724233354377
CREBBP	MAP3K3	0.6380151864895134	0.0011875589665533148
SP1	LOC81691	0.6514019873020084	0.018184724233354377
E2F6	SEPT7L	0.6468851125693972	0.018184724233354377
CEBPZ	UBA52	0.6358249932472384	0.0
SP1	PDZD4	0.7172711707823298	0.018184724233354377
ZNF274	UBE3C	0.6830295341859076	0.0
SMARCC2	CPSF7	0.7388438342156638	0.0
WRNIP1	ESCO1	0.7347530897619549	3.6387448609787043E-10
CBX8	GORASP1	0.6464296437161876	3.6387448609787043E-10
CHD4	ARFGAP3	0.6251205557308083	3.938213563037252E-6
GTF3C2	SLC15A3	0.5978788215295339	0.0011875589665533148
SP1	SAMD4A	0.8158622427919812	0.0
STAT2	IFI44L	0.6533211577105108	0.018184724233354377
GABPA	MBL1P	0.6126985684941999	2.0267808875651383E-7
ZNF274	UBXN7	0.6263085694995679	2.0267808875651383E-7
GATA1	MMGT1	0.6205563209319798	7.115492800746637E-5
GATA1	FNBP1L	0.6157214490875965	7.115492800746637E-5
RBBP5	PHF17	0.6936731191697254	0.0
MAFK	NUDT10	0.6042453853721853	7.115492800746637E-5
CHD1	C19orf77	0.6822718943131485	0.0
CCNT2	R3HDM2	0.6926227654401033	0.0
BCL3	CNN2	0.614614742263427	0.018184724233354377
NFYB	KIAA0196	0.6525771902625284	0.0
STAT5A	SNTG1	0.6777547207157175	3.938213563037252E-6
ESRRA	TMEM132A	0.6555803817917396	0.018184724233354377
