TF	size	nes	pval	pval.fdr
210	ZNF527	22	1.31221224380307	0.18944853183413	0.977581089556162
211	ATMIN	8	1.30840555520973	0.190735789415827	0.977581089556162
212	ZNF860	17	1.30438900141394	0.192100983313639	0.977581089556162
213	PRDM2	20	1.30285082065495	0.192625696578827	0.977581089556162
214	ZSCAN21	9	1.29689456080851	0.194667468260416	0.977581089556162
215	MEIS1	15	1.29170295546263	0.196460033578576	0.977581089556162
216	ZBTB43	22	1.29104690774677	0.196687412430204	0.977581089556162
217	ZNF770	15	1.28848677368228	0.197576570016199	0.977581089556162
218	KLF12	26	1.28770877729556	0.19784735703522	0.977581089556162
219	GATA1	36	-1.27822599891309	0.201169751542064	0.977581089556162
220	SOX6	64	-1.27630078679875	0.201849212168781	0.977581089556162
221	ZXDB	13	-1.27593370091613	0.20197895663533	0.977581089556162
222	ZBTB7A	11	1.27293717225499	0.203040337269415	0.977581089556162
223	ZNF324B	21	1.26972516379884	0.204182546000867	0.977581089556162
224	ZNF674	14	-1.26802898543452	0.204787599682284	0.977581089556162
225	ZNF91	11	-1.26747754022861	0.204984589485374	0.977581089556162
226	SLC2A4RG	17	-1.26608118167358	0.205484019170042	0.977581089556162
227	ZNF425	17	1.26348770303284	0.206413963134141	0.977581089556162
228	ZNF737	9	-1.26332423219547	0.206472681111503	0.977581089556162
229	ZNF28	16	1.26289937163323	0.206625345804291	0.977581089556162
230	SALL2	19	1.26287647778538	0.206633574552596	0.977581089556162
231	SP3	12	1.25802618254383	0.20838228743968	0.977581089556162
232	ZNF257	24	1.25570506378898	0.209222922600964	0.977581089556162
233	ZNF69	12	1.25233051572834	0.21044945379517	0.977581089556162
234	ZNF714	12	1.25023767454734	0.21121273815299	0.977581089556162
235	ATF4	14	1.25004468159288	0.211283225685372	0.977581089556162
236	ZNF573	18	1.24768642607213	0.212145914145757	0.977581089556162
237	VDR	30	-1.24640942520104	0.212614122762482	0.977581089556162
238	ZNF829	23	-1.24618495294562	0.212696501916726	0.977581089556162
239	ZNF286A	9	1.24580199388158	0.212837097404177	0.977581089556162
240	HHEX	7	-1.24491117006704	0.213164404488607	0.977581089556162
241	ZEB2	10	1.24082598915962	0.214670038208859	0.977581089556162
242	ESR1	14	1.23454666614858	0.21699926874774	0.977581089556162
243	TBX10	6	-1.23325590278527	0.217480304487587	0.977581089556162
244	KLF5	28	-1.23166239231492	0.218075223707558	0.977581089556162
245	LYL1	12	-1.22716661204738	0.219759975598989	0.977581089556162
246	ZNF207	23	1.22250160111474	0.221517998778708	0.977581089556162
247	ZNF174	17	1.21816009066894	0.22316314235593	0.977581089556162
248	ZNF136	12	1.21312213861985	0.225083126932286	0.977581089556162
249	STAT5B	16	-1.21285871459029	0.225183842539479	0.977581089556162
250	ZNF7	19	1.21280679218336	0.225203697967732	0.977581089556162
251	ZNF841	18	1.21063133353618	0.226036729911758	0.977581089556162
252	FOS	19	-1.2068143277103	0.227503656985307	0.977581089556162
253	ZNF585A	15	1.20509879786552	0.228165163840554	0.977581089556162
254	PLAG1	27	-1.2050380874478	0.228188598801886	0.977581089556162
255	ZNF182	11	1.20399369047583	0.228592017244329	0.977581089556162
256	ZNF397	20	1.20387376023507	0.228638375096442	0.977581089556162
257	REXO4	12	-1.20027505049161	0.230032536131908	0.977581089556162
258	NFE2L2	8	1.19950585400535	0.230331309869106	0.977581089556162
259	ZNF236	12	1.19891495670762	0.230561015375328	0.977581089556162
260	ZXDA	8	1.18879919434611	0.234518695155488	0.977581089556162
261	BPTF	13	1.18615361513492	0.235561640409646	0.977581089556162
262	ZNF554	15	1.18531090437698	0.235894543674613	0.977581089556162
263	ZNF585B	17	1.18356552553443	0.236585093872988	0.977581089556162
264	ZNF579	12	-1.18190024757617	0.237245283748194	0.977581089556162
265	YBX1	9	1.18178773068352	0.237289937324809	0.977581089556162
266	HMGA2	25	-1.18164853571163	0.237345186609873	0.977581089556162
267	ZNF33B	17	1.18123111825752	0.237510922488377	0.977581089556162
268	NFX1	21	1.18116793972614	0.237536014688202	0.977581089556162
269	ZNF17	14	1.17888877902432	0.23844246644427	0.977581089556162
