V1,V2
ANAPC1,PSMB7
ANAPC1,PSMB8
ANAPC1,PSMB9
ANAPC1,PSMC1
ANAPC1,PSMC2
ANAPC1,PSMC3
ANAPC1,PSMC4
ANAPC1,PSMC5
ANAPC1,PSMC6
ANAPC1,PSMD1
ANAPC1,PSMD10
ANAPC1,PSMD11
ANAPC1,PSMD12
ANAPC1,PSMD13
ANAPC1,PSMD14
ANAPC1,PSMD2
ANAPC1,PSMD3
ANAPC1,PSMD4
ANAPC1,PSMD5
ANAPC1,PSMD6
ANAPC1,PSMD7
ANAPC1,PSMD8
ANAPC1,PSMD9
ANAPC1,PSME1
ANAPC1,PSME2
ANAPC1,PSME3
ANAPC1,PSME4
ANAPC1,PSMF1
ANAPC1,PTTG1
ANAPC1,PTTG2
ANAPC1,RELA
ANAPC1,RPS27A
ANAPC1,SEM1
ANAPC1,SKP2
ANAPC1,UBA52
ANAPC1,UBB
ANAPC1,UBC
ANAPC1,UBE2C
ANAPC1,UBE2D1
ANAPC1,UBE2E1
ANAPC1,UBE2S
ANAPC1,USP1
ANAPC1,VENTX
ANAPC10,MAD1L1
ANAPC11,MAD1L1
ANAPC13,MAD1L1
ANAPC2,MAD1L1
ANAPC4,MAD1L1
ANAPC5,CDKN1B
ANAPC5,MAD1L1
ANAPC7,CDKN1B
ANAPC7,MAD1L1
ANAPC7,PTEN
ANG,PTEN
ANGPT1,FN1
ANGPT1,KIT
ANGPT2,KIT
ANGPT4,KIT
ANK1,CD59
ANK1,KDELR1
ANK1,SPTB
ANK2,CD59
ANK2,KDELR1
ANK2,OBSCN
ANK3,CD59
ANK3,KDELR1
ANKLE2,PPP2CA
ANKRD17,DDX58
ANXA2,PTEN
AOX1,SP3
AP1B1,HLA-DPA1
AP1B1,HLA-DRB5
AP1G1,HLA-DPA1
AP1G1,HLA-DRB5
AP1M1,HLA-DRB5
AP1M2,HLA-DRB5
AP1S1,HLA-DPA1
AP1S1,HLA-DRB5
AP1S2,HLA-DPA1
AP1S2,HLA-DRB5
AP1S3,HLA-DRB5
AP2A1,ARPC1A
AP2A1,EPN1
AP2A1,HLA-DPA1
AP2A1,HLA-DRB5
AP2A1,RPS6KA5
AP2A1,TF
AP2A2,ARPC1A
AP2A2,EPN1
AP2A2,HLA-DPA1
AP2A2,HLA-DRB5
AP2A2,RPS6KA5
AP2A2,TF
AP2B1,ARPC1A
AP2B1,EPN1
AP2B1,HLA-DPA1
AP2B1,HLA-DRB5
AP2B1,RPS6KA5
AP2B1,TF
AP2M1,HLA-DRB5
AP2M1,RPS6KA5
AP2M1,TF
AP2S1,HLA-DRB5
AP2S1,RPS6KA5
AP2S1,TF
AP5B1,AP5M1
AP5B1,AP5S1
AP5B1,AP5Z1
APBB1IP,FN1
APC,CSNK1G2
APC,PPP2CA
APC,PPP2R5E
APC,PXN
APC,TGFB1
APC2,CSNK1G2
APC2,PPP2CA
APC2,PPP2R5E
APOA1,KRT1
APOA1,SP3
APOA2,NFIC
APOB,ARPC1A
APOE,HP
APP,CSNK1G2
APP,DYRK1A
APP,POU2F2
APP,TGFB1
AQP2,PRKACB
AQR,GTF2H2
AQR,NCBP2
AQR,SLU7
AR,PRKACB
AR,PTEN
AR,SLC30A9
ARAF,MAP2K4
ARAF,PRKACB
ARCN1,CD59
ARCN1,KDELR1
ARCN1,SPTB
AREG,KIT
AREG,PXN
ARF1,HLA-DRB5
ARF1,KDELR1
ARF3,KDELR1
ARF4,CD59
ARF4,KDELR1
ARF4,LGALS1
ARF4,PTEN
ARF4,SPTB
ARF5,KDELR1
ARF6,PXN
ARF6,SRC
ARFGAP1,CD59
ARFGAP1,KDELR1
ARFGAP2,CD59
ARFGAP2,KDELR1
ARFGAP2,SPTB
ARFGAP3,CD59
ARFGAP3,KDELR1
ARFGAP3,SPTB
ARG1,NFIC
ARHGAP18,CDC42
ARHGAP18,RAC1
ARHGAP18,RAC2
ARHGAP18,RAC3
ARHGAP18,RHOA
ARHGAP18,RHOB
ARHGAP18,RHOBTB1
ARHGAP18,RHOBTB2
ARHGAP18,RHOC
ARHGAP18,RHOD
ARHGAP18,RHOF
ARHGAP18,RHOG
ARHGAP18,RHOH
ARHGAP18,RHOJ
ARHGAP18,RHOQ
ARHGAP18,RHOT1
ARHGAP18,RHOT2
ARHGAP18,RHOU
ARHGAP18,RHOV
ARHGAP22,VEZF1
ARHGAP24,VEZF1
ARHGDIA,CDKN1B
ARHGDIA,PRKACB
ARHGDIB,PRKACB
ARHGDIG,PRKACB
