name,attr1,attr2,n
B9D2,lalala,lalala,PPI
BAD,lalala,lalala,PPI
BAK1,lalala,lalala,PPI
BAMBI,lalala,lalala,PPI
BANF1,lalala,lalala,PPI
BAP1,lalala,lalala,PPI
BAX,lalala,lalala,PPI
BCAR1,lalala,lalala,PPI
BCAS2,lalala,lalala,PPI
BCAS3,lalala,lalala,PPI
BCKDK,lalala,lalala,PPI
BCL10,lalala,lalala,PPI
BCL2,lalala,lalala,PPI
BCL2A1,lalala,lalala,PPI
BCL2L1,lalala,lalala,PPI
BCL3,lalala,lalala,PPI
BCLAF1,lalala,lalala,PPI
BCOR,lalala,lalala,PPI
BCR,lalala,lalala,PPI
BCR/ABL FUSION,lalala,lalala,PPI
BDNF,lalala,lalala,PPI
BDP1,lalala,lalala,PPI
BET1,lalala,lalala,PPI
BET1L,lalala,lalala,PPI
BEX1,lalala,lalala,PPI
BGN,lalala,lalala,PPI
BHLHE40,lalala,lalala,PPI
BIN1,lalala,lalala,PPI
BIN2,lalala,lalala,PPI
BIRC5,lalala,lalala,PPI
BLK,lalala,lalala,PPI
BMI1,lalala,lalala,PPI
BMPR1A,lalala,lalala,PPI
BMPR1B,lalala,lalala,PPI
BMPR2,lalala,lalala,PPI
BNIP1,lalala,lalala,PPI
BNIP3L,lalala,lalala,PPI
BOK,lalala,lalala,PPI
BORA,lalala,lalala,PPI
BPGM,lalala,lalala,PPI
BPI,lalala,lalala,PPI
BRAF,lalala,lalala,PPI
BRAT1,lalala,lalala,PPI
BRCA1,lalala,lalala,PPI
BRD2,lalala,lalala,PPI
BRD4,lalala,lalala,PPI
BRD8,lalala,lalala,PPI
BRF2,lalala,lalala,PPI
BRPF1,lalala,lalala,PPI
BSG,lalala,lalala,PPI
BTBD10,lalala,lalala,PPI
BTC,lalala,lalala,PPI
BTK,lalala,lalala,PPI
BTRC,lalala,lalala,PPI
BUB1,lalala,lalala,PPI
BUB1B,lalala,lalala,PPI
BUB3,lalala,lalala,PPI
BUD31,lalala,lalala,PPI
C2CD3,lalala,lalala,PPI
C3,lalala,lalala,PPI
C4A,lalala,lalala,PPI
C4BPB,lalala,lalala,PPI
C5,lalala,lalala,PPI
C6,lalala,lalala,PPI
C7,lalala,lalala,PPI
C8A,lalala,lalala,PPI
C8B,lalala,lalala,PPI
C8G,lalala,lalala,PPI
C9,lalala,lalala,PPI
CA9,lalala,lalala,PPI
CACNA1C,lalala,lalala,PPI
CACNA1D,lalala,lalala,PPI
CACNA1F,lalala,lalala,PPI
CACNA1S,lalala,lalala,PPI
CACNA2D1,lalala,lalala,PPI
CACNA2D2,lalala,lalala,PPI
CACNA2D3,lalala,lalala,PPI
CACNA2D4,lalala,lalala,PPI
CACNB1,lalala,lalala,PPI
CACNB2,lalala,lalala,PPI
CACNB3,lalala,lalala,PPI
CACNB4,lalala,lalala,PPI
CACNG1,lalala,lalala,PPI
CACNG2,lalala,lalala,PPI
CACNG3,lalala,lalala,PPI
CACNG4,lalala,lalala,PPI
CACNG5,lalala,lalala,PPI
CACNG6,lalala,lalala,PPI
CACNG7,lalala,lalala,PPI
CACNG8,lalala,lalala,PPI
CALCR,lalala,lalala,PPI
CALD1,lalala,lalala,PPI
CALM3,lalala,lalala,PPI
CALML3,lalala,lalala,PPI
CALML4,lalala,lalala,PPI
CALML5,lalala,lalala,PPI
CALML6,lalala,lalala,PPI
CAMK1,lalala,lalala,PPI
CAMK2A,lalala,lalala,PPI
CAMK2B,lalala,lalala,PPI
CAMK2D,lalala,lalala,PPI
CAMK2G,lalala,lalala,PPI
CAMSAP3,lalala,lalala,PPI
CANX,lalala,lalala,PPI
CAPZA1,lalala,lalala,PPI
CAPZA2,lalala,lalala,PPI
CAPZA3,lalala,lalala,PPI
CAPZB,lalala,lalala,PPI
CARM1,lalala,lalala,PPI
CASC3,lalala,lalala,PPI
CASP10,lalala,lalala,PPI
CASP3,lalala,lalala,PPI
CASP8,lalala,lalala,PPI
CASP8AP2,lalala,lalala,PPI
CASS4,lalala,lalala,PPI
CAV1,lalala,lalala,PPI
CBFB,lalala,lalala,PPI
CBL,lalala,lalala,PPI
CBLC,lalala,lalala,PPI
CBLL1,lalala,lalala,PPI
CBLL2,lalala,lalala,PPI
CBX2,lalala,lalala,PPI
CBX3,lalala,lalala,PPI
CBX4,lalala,lalala,PPI
CBX5,lalala,lalala,PPI
CBX6,lalala,lalala,PPI
CBX8,lalala,lalala,PPI
CC2D2A,lalala,lalala,PPI
CCAR1,lalala,lalala,PPI
CCAR2,lalala,lalala,PPI
CCDC120,lalala,lalala,PPI
CCL5,lalala,lalala,PPI
CCN2,lalala,lalala,PPI
CCNB1,lalala,lalala,PPI
CCNB2,lalala,lalala,PPI
CCNC,lalala,lalala,PPI
CCND1,lalala,lalala,PPI
CCND3,lalala,lalala,PPI
CCNE1,lalala,lalala,PPI
CCNE2,lalala,lalala,PPI
CCNG1,lalala,lalala,PPI
CCNG2,lalala,lalala,PPI
CCNH,lalala,lalala,PPI
CCNK,lalala,lalala,PPI
CCNT1,lalala,lalala,PPI
CCNT2,lalala,lalala,PPI
CCP110,lalala,lalala,PPI
CCR1,lalala,lalala,PPI
CCR5,lalala,lalala,PPI
CCR7,lalala,lalala,PPI
CCT2,lalala,lalala,PPI
CCT3,lalala,lalala,PPI
CCT4,lalala,lalala,PPI
CCT5,lalala,lalala,PPI
CCT6A,lalala,lalala,PPI
CCT7,lalala,lalala,PPI
CCT8,lalala,lalala,PPI
CD101,lalala,lalala,PPI
CD109,lalala,lalala,PPI
CD14,lalala,lalala,PPI
CD151,lalala,lalala,PPI
CD2,lalala,lalala,PPI
CD209,lalala,lalala,PPI
CD22,lalala,lalala,PPI
CD247,lalala,lalala,PPI
CD274,lalala,lalala,PPI
CD2BP2,lalala,lalala,PPI
CD33,lalala,lalala,PPI
CD36,lalala,lalala,PPI
CD37,lalala,lalala,PPI
CD3D,lalala,lalala,PPI
CD3E,lalala,lalala,PPI
CD3G,lalala,lalala,PPI
CD4,lalala,lalala,PPI
CD40,lalala,lalala,PPI
CD40LG,lalala,lalala,PPI
CD44,lalala,lalala,PPI
CD59,lalala,lalala,PPI
CD74,lalala,lalala,PPI
CD79A,lalala,lalala,PPI
CD79B,lalala,lalala,PPI
CD83,lalala,lalala,PPI
CDC16,lalala,lalala,PPI
CDC2,lalala,lalala,PPI
CDC20,lalala,lalala,PPI
CDC23,lalala,lalala,PPI
CDC25C,lalala,lalala,PPI
CDC26,lalala,lalala,PPI
CDC27,lalala,lalala,PPI
CDC40,lalala,lalala,PPI
CDC42,lalala,lalala,PPI
CDC45,lalala,lalala,PPI
CDC5L,lalala,lalala,PPI
